id,year,month,day,admin1_code,admin2_code,event,interaction,fatalities,latitude,longitude,iso3,active_adm_id
48760,2022,4,12,1930,,Battles,12,2,15.1687,-7.2847,MLI,1
48864,2022,4,8,1930,,Battles,12,2,15.1687,-7.2847,MLI,1
49707,2022,4,5,1930,,Strategic developments,37,0,12.87,-7.56,MLI,1
50546,2022,3,24,1930,,Protests,60,0,13.5728,-8.0339,MLI,1
50577,2022,3,23,1930,,Protests,60,0,13.8837,-8.091,MLI,1
51542,2022,3,17,1930,,Violence against civilians,27,0,14.6432,-6.6909,MLI,1
51688,2022,3,12,1930,,Battles,13,2,12.2264,-8.6339,MLI,1
52497,2022,3,11,1930,,Battles,13,0,14.9894,-7.4546,MLI,1
52701,2022,3,5,1930,,Violence against civilians,17,15,15.413,-6.5673,MLI,1
54641,2022,2,21,1930,,Strategic developments,37,0,12.4127,-8.878,MLI,1
54733,2022,2,18,1930,,Violence against civilians,37,0,13.5728,-8.0339,MLI,1
55590,2022,2,16,1930,,Battles,12,2,14.8811,-6.8445,MLI,1
55706,2022,2,13,1930,,Protests,60,0,12.7482,-8.0722,MLI,1
55741,2022,2,12,1930,,Protests,60,0,11.9989,-7.914,MLI,1
55787,2022,2,11,1930,,Protests,60,0,12.87,-7.56,MLI,1
55788,2022,2,11,1930,,Protests,60,0,12.689,-7.8666,MLI,1
56561,2022,2,3,1930,,Explosions/Remote violence,12,1,14.6432,-6.6909,MLI,1
59655,2022,1,19,1930,,Battles,12,14,14.4872,-7.1373,MLI,1
59656,2022,1,19,1930,,Battles,12,14,14.3173,-7.2672,MLI,1
59710,2022,1,17,1930,,Violence against civilians,17,14,14.8673,-6.98,MLI,1
59750,2022,1,16,1930,,Battles,12,5,14.8673,-6.98,MLI,1
59751,2022,1,16,1930,,Battles,12,5,14.8084,-7.0009,MLI,1
59752,2022,1,16,1930,,Battles,12,4,14.8181,-6.9286,MLI,1
59818,2022,1,14,1930,,Protests,60,0,12.7482,-8.0722,MLI,1
