id,year,month,day,admin1_code,admin2_code,event,interaction,fatalities,latitude,longitude,iso3,active_adm_id
1552669,2021,5,22,900959,0,Protests,60,0,6.5167,14.3,CMR,1
1558783,2021,1,24,900959,0,Battles,12,1,6.3865,13.0473,CMR,1
1560730,2020,12,28,900959,0,Battles,13,0,6743,14.9532,CMR,1
1562580,2020,11,24,900959,0,Strategic developments,10,0,6315,14721,CMR,1
1564994,2020,10,1,900959,0,Violence against civilians,17,1,6.4649,12.6254,CMR,1
1573851,2020,3,16,900959,0,Riots,15,1,7.3167,13.5833,CMR,1
1575173,2020,2,9,900959,0,Riots,57,0,6.75,11.8166,CMR,1
1577918,2019,12,5,900959,0,Battles,13,0,7.3167,13.5833,CMR,1
1586176,2019,3,19,900959,0,Violence against civilians,37,1,7.3167,13.5833,CMR,1
1588245,2019,1,14,900959,0,Violence against civilians,37,11,7.0167,14.9667,CMR,1
1588830,2018,12,27,900959,0,Violence against civilians,37,0,7.0736,13.7804,CMR,1
1588850,2018,12,24,900959,0,Violence against civilians,37,0,7.0736,13.7804,CMR,1
1588861,2018,12,22,900959,0,Violence against civilians,37,3,6.4649,12.6254,CMR,1
1590072,2018,11,12,900959,0,Battles,13,1,7.0736,13.7804,CMR,1
1590076,2018,11,11,900959,0,Battles,13,1,7.0736,13.7804,CMR,1
1590116,2018,11,5,900959,0,Battles,13,1,7.0736,13.7804,CMR,1
1539191,2022,4,3,900960,0,Strategic developments,17,0,3.8667,11.5167,CMR,1
1539192,2022,4,3,900960,0,Violence against civilians,37,1,4.8934,12.9332,CMR,1
1539962,2022,3,9,900960,0,Riots,57,0,3.8667,11.5167,CMR,1
1540094,2022,2,23,900960,0,Riots,15,0,4.5167,12.0333,CMR,1
1540095,2022,2,23,900960,0,Riots,57,0,4.5167,12.0333,CMR,1
1540640,2022,2,21,900960,0,Explosions/Remote violence,20,0,3.8667,11.5167,CMR,1
1540642,2022,2,21,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1541255,2022,1,25,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1542684,2021,12,28,900960,0,Riots,57,0,3.8667,11.5167,CMR,1
1543482,2021,12,8,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1543502,2021,12,7,900960,0,Strategic developments,37,0,3.8667,11.5167,CMR,1
1544358,2021,11,16,900960,0,Explosions/Remote violence,37,0,3.8667,11.5167,CMR,1
1544926,2021,11,14,900960,0,Riots,57,0,3.8667,11.5167,CMR,1
1544989,2021,11,10,900960,0,Violence against civilians,17,1,3.8667,11.5167,CMR,1
1546160,2021,10,26,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1546179,2021,10,25,900960,0,Protests,60,0,3.9138,11.5708,CMR,1
1546245,2021,10,21,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1546588,2021,10,17,900960,0,Violence against civilians,37,2,3.8667,11.5167,CMR,1
1546630,2021,10,14,900960,0,Strategic developments,17,0,3.8667,11.5167,CMR,1
1546642,2021,10,13,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1546659,2021,10,12,900960,0,Battles,12,17,4.75,11.2333,CMR,1
1547273,2021,10,3,900960,0,Riots,55,1,4.9379,11.2609,CMR,1
1547426,2021,9,24,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1547431,2021,9,24,900960,0,Riots,57,0,3.8667,11.5167,CMR,1
1547950,2021,9,21,900960,0,Riots,57,0,3.8667,11.5167,CMR,1
1548028,2021,9,16,900960,0,Violence against civilians,17,0,3.8667,11.5167,CMR,1
1549431,2021,8,17,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1549844,2021,8,9,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1549939,2021,8,2,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1550991,2021,7,5,900960,0,Violence against civilians,17,0,3.8667,11.5167,CMR,1
1551034,2021,7,2,900960,0,Protests,60,0,3.9,12.5166,CMR,1
1551637,2021,6,13,900960,0,Riots,57,0,3.8667,11.5167,CMR,1
1552191,2021,6,7,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1552195,2021,6,7,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1552258,2021,6,1,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1552690,2021,5,19,900960,0,Riots,57,1,3.8667,11.5167,CMR,1
1553393,2021,5,5,900960,0,Protests,60,0,3.8667,11.5167,CMR,1
1553466,2021,4,30,900960,0,Riots,15,1,3.7667,12.25,CMR,1
1553473,2021,4,29,900960,0,Riots,15,0,3.8667,11.5167,CMR,1
1554849,2021,4,5,900960,0,Riots,50,0,3.8667,11.5167,CMR,1
1554923,2021,3,31,900960,0,Violence against civilians,17,0,3.8667,11.5167,CMR,1
1556015,2021,3,3,900960,0,Riots,57,0,3.8667,11.5167,CMR,1
