AdminStrata,Agadez,Diffa,Dosso,Maradi,Niamey,Tahoua,Tillaberi,Zinder
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
2019-06-30,0.4043978088311232,0.4202176131695771,0.19581099828747872,0.07901807095278604,0.24710727752986178,0.23905994873508973,0.3087422104647668,0.181477133294731
2019-07-01,,,,,,,,
2019-07-02,,,,,,,,
2019-07-03,,,,,,,,
2019-07-04,,,,,,,,
2019-07-05,,,,,,,,
2019-07-06,,,,,,,,
2019-07-07,,,,,,,,
2019-07-08,,,,,,,,
2019-07-09,,,,,,,,
2019-07-10,,,,,,,,
2019-07-11,,,,,,,,
2019-07-12,,,,,,,,
2019-07-13,,,,,,,,
2019-07-14,,,,,,,,
2019-07-15,,,,,,,,
2019-07-16,,,,,,,,
2019-07-17,,,,,,,,
2019-07-18,,,,,,,,
2019-07-19,,,,,,,,
2019-07-20,,,,,,,,
2019-07-21,,,,,,,,
2019-07-22,,,,,,,,
2019-07-23,,,,,,,,
2019-07-24,,,,,,,,
2019-07-25,,,,,,,,
2019-07-26,,,,,,,,
2019-07-27,,,,,,,,
2019-07-28,,,,,,,,
2019-07-29,,,,,,,,
2019-07-30,,,,,,,,
2019-07-31,0.37931544620660046,0.38505053111098553,0.18358681683595912,0.10649070903407434,0.284792630479976,0.21690206043716637,0.2602882730152945,0.09504318209033155
2019-08-01,,,,,,,,
2019-08-02,,,,,,,,
2019-08-03,,,,,,,,
2019-08-04,,,,,,,,
2019-08-05,,,,,,,,
2019-08-06,,,,,,,,
2019-08-07,,,,,,,,
2019-08-08,,,,,,,,
2019-08-09,,,,,,,,
2019-08-10,,,,,,,,
2019-08-11,,,,,,,,
2019-08-12,,,,,,,,
2019-08-13,,,,,,,,
2019-08-14,,,,,,,,
2019-08-15,,,,,,,,
2019-08-16,,,,,,,,
2019-08-17,,,,,,,,
2019-08-18,,,,,,,,
2019-08-19,,,,,,,,
2019-08-20,,,,,,,,
2019-08-21,,,,,,,,
2019-08-22,,,,,,,,
2019-08-23,,,,,,,,
2019-08-24,,,,,,,,
2019-08-25,,,,,,,,
2019-08-26,,,,,,,,
2019-08-27,,,,,,,,
2019-08-28,,,,,,,,
2019-08-29,,,,,,,,
2019-08-30,,,,,,,,
2019-08-31,0.41984970575779856,0.41032747269800185,0.17109000499659235,0.06519188588534508,0.27413048535377516,0.22599772541246865,0.26182668166604434,0.14462538580754078
2019-09-01,,,,,,,,
2019-09-02,,,,,,,,
2019-09-03,,,,,,,,
2019-09-04,,,,,,,,
2019-09-05,,,,,,,,
2019-09-06,,,,,,,,
2019-09-07,,,,,,,,
2019-09-08,,,,,,,,
2019-09-09,,,,,,,,
2019-09-10,,,,,,,,
2019-09-11,,,,,,,,
2019-09-12,,,,,,,,
2019-09-13,,,,,,,,
2019-09-14,,,,,,,,
