AdminStrata,Al-Hasakeh,Aleppo,Ar-Raqqa,As-Sweida,Damascus,Dar'a,Deir-ez-Zor,Hama,Homs,Lattakia,Rural Damascus,Tartous
Food Group,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers,Price cereals and tubers
2018-05-31,0.015819673684404758,0.032151785603181084,0.032909634614868934,0.011394861450106783,0.026439256830178635,0.07122967149119244,0.07035944781622386,0.022184317184030796,0.02047780507804608,0.026815881387265973,0.025228321876974213,0.024483422525607
2018-06-01,,,,,,,,,,,,
2018-06-02,,,,,,,,,,,,
2018-06-03,,,,,,,,,,,,
2018-06-04,,,,,,,,,,,,
2018-06-05,,,,,,,,,,,,
2018-06-06,,,,,,,,,,,,
2018-06-07,,,,,,,,,,,,
2018-06-08,,,,,,,,,,,,
2018-06-09,,,,,,,,,,,,
2018-06-10,,,,,,,,,,,,
2018-06-11,,,,,,,,,,,,
2018-06-12,,,,,,,,,,,,
2018-06-13,,,,,,,,,,,,
2018-06-14,,,,,,,,,,,,
2018-06-15,,,,,,,,,,,,
2018-06-16,,,,,,,,,,,,
2018-06-17,,,,,,,,,,,,
2018-06-18,,,,,,,,,,,,
2018-06-19,,,,,,,,,,,,
2018-06-20,,,,,,,,,,,,
2018-06-21,,,,,,,,,,,,
2018-06-22,,,,,,,,,,,,
2018-06-23,,,,,,,,,,,,
2018-06-24,,,,,,,,,,,,
2018-06-25,,,,,,,,,,,,
2018-06-26,,,,,,,,,,,,
2018-06-27,,,,,,,,,,,,
2018-06-28,,,,,,,,,,,,
2018-06-29,,,,,,,,,,,,
2018-06-30,0.01558864583546074,0.053207915044343225,0.03154556843934022,0.01159019857844519,0.02528235556761831,0.08177221469267644,0.06868392448810141,0.022184317184030796,0.02047780507804608,0.022728641676987467,0.02411914284015179,0.0221000326786516
2018-07-01,,,,,,,,,,,,
2018-07-02,,,,,,,,,,,,
2018-07-03,,,,,,,,,,,,
2018-07-04,,,,,,,,,,,,
2018-07-05,,,,,,,,,,,,
2018-07-06,,,,,,,,,,,,
2018-07-07,,,,,,,,,,,,
2018-07-08,,,,,,,,,,,,
2018-07-09,,,,,,,,,,,,
2018-07-10,,,,,,,,,,,,
2018-07-11,,,,,,,,,,,,
2018-07-12,,,,,,,,,,,,
2018-07-13,,,,,,,,,,,,
2018-07-14,,,,,,,,,,,,
2018-07-15,,,,,,,,,,,,
2018-07-16,,,,,,,,,,,,
2018-07-17,,,,,,,,,,,,
2018-07-18,,,,,,,,,,,,
2018-07-19,,,,,,,,,,,,
2018-07-20,,,,,,,,,,,,
2018-07-21,,,,,,,,,,,,
2018-07-22,,,,,,,,,,,,
2018-07-23,,,,,,,,,,,,
2018-07-24,,,,,,,,,,,,
2018-07-25,,,,,,,,,,,,
2018-07-26,,,,,,,,,,,,
2018-07-27,,,,,,,,,,,,
2018-07-28,,,,,,,,,,,,
2018-07-29,,,,,,,,,,,,
2018-07-30,,,,,,,,,,,,
2018-07-31,0.016307014693592053,0.050404987366841916,0.0323075225689452,0.014244133551249405,0.026424700552815546,0.06685526705690994,0.0644659172068772,0.021465292582924334,0.022008703113306938,0.024962677780021706,0.02446790930496128,0.025101972904923754
2018-08-01,,,,,,,,,,,,
2018-08-02,,,,,,,,,,,,
2018-08-03,,,,,,,,,,,,
2018-08-04,,,,,,,,,,,,
