AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Cascades,Cascades,Centre,Centre,Centre,Centre,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Est,Est,Est,Est,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Nord,Nord,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Sahel,Sahel,Sahel,Sahel,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest
Food Group,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts
Commodity,Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG)
2019-06-30,0.2274909963985594,0.05178501373087485,0.11585944919278257,0.423288355822089,0.304921968787515,0.7457826598666144,0.31623931623931634,0.8664001332667,0.5390156062424971,0.728128677912907,0.9487179487179488,0.6984840912876895,0.30564225690276103,0.26912514711651636,0.3817663817663818,0.295952023988006,0.524609843937575,0.33797567673597495,0.514957264957265,0.2297184740962852,0.296998799519808,0.21686936053354255,0.28034188034188057,0.24837581209395299,0.3481392557022809,0.528638681836014,0.45868945868945865,0.47692820256538404,0.4295318127250902,0.42548898727792417,0.45299145299145305,0.6481759120439781,0.1080432172869148,0.21969399764613584,0.1726495726495726,0.5126881003942474,0.4975990396158463,0.3697528442526481,0.41239316239316237,0.31950691321006164,0.44297719087635046,0.2408787759905846,0.1794871794871794,0.15275695485590535,0.830732292917167,0.6676007397859103,0.7435897435897437,0.870598034316175,0.2523409363745498,0.4569635151039624,0.44444444444444453,0.653240046643345
2019-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
