AdminStrata,Agadez,Agadez,Agadez,Diffa,Diffa,Diffa,Dosso,Dosso,Dosso,Maradi,Maradi,Maradi,Niamey,Niamey,Niamey,Tahoua,Tahoua,Tahoua,Tillaberi,Tillaberi,Tillaberi,Zinder,Zinder,Zinder
2018-07-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-20,111.90720328121,123.147584008998,1.765,129.425234714907,142.743525480368,6.781000000000001,116.173687169862,119.055937055797,51.785,117.793686211314,120.02387204583401,35.238,126.644444444444,141.399584065215,78.143,115.346549728973,114.750740346236,30.19,125.8738170347,130.491205890009,56.183,122.007786740187,133.285218097343,18.165
2018-07-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-30,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-31,107.496380502976,125.931386221461,5.494,88.6481147969558,124.12972329663799,7.398,110.83141275265601,115.783954899569,53.716,93.80430583070971,109.21633488416401,32.775,110.29381630696999,127.679730882917,40.286,111.549646366128,108.771488760392,27.596999999999998,111.544360954088,118.600646471581,32.289,91.1760116877775,116.831388950033,17.566
2018-08-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-10,127.721943048576,140.350877192982,10.191,121.55902980713002,145.34018666306002,25.738000000000003,114.664406211061,120.876105666187,75.906,114.446237137428,123.540078437253,81.58800000000001,124.495327433211,130.19263517106302,82.85700000000001,117.577678633532,117.038135706459,50.542,121.143217720527,121.656421812428,68.553,114.494106518303,131.912032275928,46.257
2018-08-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-20,134.441237113402,136.251567709767,6.917000000000001,122.767857142857,134.8740338481,13.514000000000001,109.063298800819,115.708397834448,62.192,102.11868681773198,110.67549689249901,27.464000000000002,90.52216106197679,116.369013863321,27.857,103.117791106221,109.34101365008301,28.083000000000002,97.6305189675046,113.321936065001,39.921,99.9049146523084,113.82716224960699,13.384
2018-08-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-30,,,,,,,,,,,,,,,,,,,,,,,,
2018-08-31,131.365785598016,134.647297260535,6.787000000000001,138.046420426693,135.580474583477,15.517999999999999,117.052125182323,111.99742318738001,80.616,122.642407403834,115.280329676098,71.641,94.5707487938669,107.095746750919,51.0,132.675485294243,120.476320578661,67.14,108.21880578392401,110.95078825112302,56.729,115.48911226513901,116.382696681139,33.992
2018-09-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-10,121.098760153912,139.35034075776198,4.621,122.486390682365,140.36852829138002,9.344,110.23668435984301,113.450863245049,39.921,130.700661505147,128.133300158617,67.137,69.3232907105739,102.65410662003299,18.0,143.69569719622498,129.214026286222,40.483000000000004,93.3039588757594,108.14442184226101,19.134,109.677212264393,125.11781338360001,28.045
2018-09-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-20,120.257385505132,136.105206545957,1.673,132.71223021582702,134.07531255458798,2.032,109.180588927487,111.592553694877,24.410999999999998,151.022657685242,122.47501703726499,11.525,83.44250169662119,98.79542168674699,30.429000000000002,163.559430696243,126.72163605134199,9.937000000000001,95.8186474151209,104.92680759447599,15.539000000000001,132.53924727497102,117.12980777273998,5.297000000000001
2018-09-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,118.332189430336,131.167832705466,0.9470000000000001,125.022675736961,123.24112173197399,0.6779999999999999,110.044507488154,114.030938590156,32.727,143.262989418773,117.51680457404801,8.009,109.77473684210501,103.678004790895,45.857,134.45216355696698,128.256622173041,7.317,103.351368463464,108.866384273101,27.15,133.652934946207,111.215526394985,4.61
2018-10-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-10,105.051156046081,130.88885909639401,0.42,110.384336475707,125.77842338161899,2.512,138.91207714909999,117.57165861513701,25.051,85.58599730365829,118.53171487811301,7.921,177.365366057411,112.858773165884,36.857,112.437311935807,130.747793560033,9.738999999999999,145.396785587393,113.92364207472099,16.879,101.990540818425,112.09902671309601,4.8919999999999995
2018-10-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-20,103.25409021061199,136.51538862806498,0.055999999999999994,117.170407584475,132.766085841442,1.27,193.931012040351,118.740802354597,3.736,114.666610147938,123.51584479108999,1.121,256.11623105202204,107.12747251409999,9.0,139.55231490923902,131.969418317482,0.313,211.00419809042597,108.15784942694799,2.767,128.294117647059,116.483843959755,0.127
2018-10-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-30,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-31,102.691370063384,136.046625526496,0.055,124.90904475844,144.714250239455,0.981,209.25459514495498,121.78840747847,0.262,147.80160444307302,132.69407999851802,0.11900000000000001,282.280806275444,113.06150032163201,1.0,160.068558673469,139.45311769071998,0.027000000000000003,203.61118653271802,113.66468691818199,0.35,138.014638609332,125.851624307117,0.066
2018-11-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-10,100.33716779055901,121.617027851817,0.006999999999999999,109.697349570201,125.636065057476,0.0,126.96771853463899,120.107654214662,0.004,112.164454645245,121.532011291126,0.0,164.717509471257,106.622657778355,0.0,102.998306604243,139.16711570786302,0.0,124.883388862446,108.840225683316,0.002,101.65553006881399,108.87710623902201,0.0
2018-11-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-12,,,,,,,,,,,,,,,,,,,,,,,,
