AdminStrata,Agadez,Agadez,Agadez,Diffa,Diffa,Diffa,Dosso,Dosso,Dosso,Maradi,Maradi,Maradi,Niamey,Niamey,Niamey,Tahoua,Tahoua,Tahoua,Tillaberi,Tillaberi,Tillaberi,Zinder,Zinder,Zinder
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm)
2018-01-10,100.01,100.832424933109,0.0,100.0,102.910100286533,0.0,100.0,91.14980050779829,0.0,100.0,99.9401257359545,0.0,100.0,85.8919453137869,0.0,100.0,100.079689212073,0.0,100.0,97.01094716801519,0.0,100.0,99.9900269272963,0.0
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,100.0,100.77635114959699,0.0,100.0,101.831640884502,0.0,100.0,99.4947994056464,0.0,100.0,100.0299970003,0.0,100.0,97.3039447545171,0.0,100.0,100.279916025192,0.0,100.0,100.515055467512,0.0,100.0,100.009992006395,0.0
2018-01-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,100.01,100.69923084606899,0.001,100.0,100.0,0.0,100.0,100.04,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0199980002,0.0,100.0,100.0,0.0
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,100.356329803029,100.840751730959,0.138,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
2018-02-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,100.43911007025801,100.66334991708099,0.154,100.0,100.0,0.0,100.01,100.01,0.001,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,100.542425416505,100.610228593568,0.08800000000000001,100.0,100.0,0.0,100.08,100.08,0.006999999999999999,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10,100.26331187829099,100.617939557787,0.039,100.0,100.0,0.0,100.23978419422501,100.23978419422501,0.025,100.0,100.0,0.0,100.0,100.0,0.14300000000000002,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0
2018-03-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-20,100.23677979479099,100.664483821263,0.033,100.0,100.0,0.0,100.479041916168,100.48902195608801,0.036000000000000004,100.0099980004,100.0099980004,0.003,101.390239160023,101.390239160023,0.28600000000000003,100.0,100.0,0.0,100.0,100.0,0.001,100.0099990001,100.0099990001,0.002
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-30,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,100.33710093198499,100.87415946205601,0.048,100.0,100.0,0.0,103.458900705695,103.538415664447,0.348,100.01999200319901,100.01999200319901,0.003,106.753688989784,106.753688989784,0.857,100.0,100.0,0.0,101.39818236292801,101.39818236292801,0.152,100.01999400179899,100.01999400179899,0.003
2018-04-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-10,100.298092209857,100.89242874964,0.013000000000000001,100.04,100.04,0.004,102.29795520934799,102.529428932776,0.122,100.029985007496,100.029985007496,0.002,106.84629398791799,106.753688989784,0.0,100.0099990001,100.0099990001,0.002,101.10737591457399,101.10737591457399,0.073,100.01999400179899,100.01999400179899,0.0
2018-04-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-20,100.248607796341,100.900383141762,0.02,100.0899910009,100.0899910009,0.006,99.34883720930229,99.8050139275766,0.21,103.807334865594,103.816565091418,0.38299999999999995,105.55123468792499,106.753688989784,0.0,100.07996001999001,100.07996001999001,0.011000000000000001,99.23047325894579,99.23054727325191,0.091,100.139972005599,100.149955013496,0.013000000000000001
2018-04-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-04-30,100.12763868434,100.972156677678,0.165,100.21916716477399,100.21916716477399,0.05,93.7525454101165,96.6688280110228,1.178,103.40345306608499,103.421940091252,0.036000000000000004,100.0,105.744629495535,1.857,101.022535490916,101.022535490916,0.163,94.7998570407434,96.0553324408746,0.446,100.189035916824,100.20887209070999,0.057
2018-05-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-10,103.31354655798701,103.713916415338,1.476,100.938922610015,100.97685887708599,0.5870000000000001,64.9638226581848,66.67784591797621,1.99,99.0117099908645,99.03702473850241,1.5030000000000001,96.0899048452368,99.99469721073281,5.7139999999999995,93.7963357477631,93.805385139741,0.833,91.5271362586605,92.39799570508231,2.145,108.26496770815201,108.28025477706998,2.335
2018-05-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-20,111.166253101737,111.37683374083099,2.695,106.15111111111099,106.230557283797,1.305,96.3047539962632,96.3265031005662,14.665999999999999,103.879701346731,106.541143654114,3.3480000000000003,124.306764125769,126.482273260434,14.571,91.75,91.81183388460121,1.482,106.54747809614,105.934409161895,5.407,119.813183475091,119.922557133095,3.385
2018-05-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-31,113.18953323903798,113.267642772882,1.834,106.700041718815,106.86184812442801,0.8959999999999999,161.034194740439,156.622935933281,36.967,121.959009848283,123.692160915885,8.059,188.084954276012,184.125,32.857,125.358481585054,125.859004739336,8.754,152.44852531997802,147.73156484694098,15.322000000000001,113.940520446097,114.02371248610599,2.67
2018-06-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-10,110.541928948701,112.2660163459,0.7490000000000001,103.655245727369,104.30595787990299,0.475,146.25396328336,126.879932856659,13.094000000000001,104.414020124939,103.69714027589599,6.506,166.666666666667,156.342607397932,21.857,112.709217212924,108.621953849472,3.9389999999999996,140.225308641975,132.914489964256,14.704,100.776247946059,105.682888540031,1.7309999999999999
2018-06-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-18,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-19,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-20,112.783360598271,119.671923491038,1.895,135.188006093161,137.08831244535102,5.4910000000000005,128.965816065985,120.860773913353,23.278000000000002,121.37831185753599,121.403030380984,17.352999999999998,165.951666666667,160.97343156954702,34.857,113.93508429865801,108.504132786775,7.109,135.994631883785,132.78471091818898,17.735,139.241021467087,145.282109689855,12.970999999999998
2018-06-21,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-22,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-23,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-24,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-25,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-26,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-27,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-28,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-29,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,126.364965875853,130.800216437203,2.909,192.213203074492,185.687405920723,10.792,98.9042869772017,120.042105638766,33.061,139.672179314976,141.35655005220198,32.692,128.307276587531,149.998545708385,33.0,89.15187376725842,101.361584215178,10.14,113.65091023556002,126.500235919873,22.55,179.540856352451,170.808944426176,18.781
2018-07-01,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-02,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-04,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-05,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-06,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-07,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-08,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-10,131.13678717853202,132.435350645144,2.7880000000000003,176.73637447177398,169.285478781028,6.3389999999999995,114.324821048559,120.13774690940001,51.85,143.005458791331,134.851462124295,36.099000000000004,116.452527113773,132.548691271944,38.429,110.687568294528,111.65668399921002,25.425,108.75436647616999,118.222693195211,30.973000000000003,168.546831763423,157.053738525978,18.549
2018-07-11,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-12,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-13,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-14,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-15,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-16,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-17,,,,,,,,,,,,,,,,,,,,,,,,
2018-07-18,,,,,,,,,,,,,,,,,,,,,,,,
