AdminStrata,Agadez,Agadez,Diffa,Diffa,Dosso,Dosso,Maradi,Maradi,Niamey,Niamey,Tahoua,Tahoua,Tillaberi,Tillaberi,Zinder,Zinder
2018-05-02,,,,,,,,,,,,,,,,
2018-05-03,,,,,,,,,,,,,,,,
2018-05-04,,,,,,,,,,,,,,,,
2018-05-05,,,,,,,,,,,,,,,,
2018-05-06,,,,,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,,,,,
2018-05-08,,,,,,,,,,,,,,,,
2018-05-09,,,,,,,,,,,,,,,,
2018-05-10,0.1031405,100.104850238691,0.10500219999999999,98.82558615492322,0.1660488,96.11648109847,0.1585339,100.837906568195,0.16975710000000002,103.310919858232,0.1355823,101.32864570849199,0.1431961,100.811886023914,0.129205,99.7538508810602
2018-05-11,,,,,,,,,,,,,,,,
2018-05-12,,,,,,,,,,,,,,,,
2018-05-13,,,,,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,,,,,
2018-05-15,,,,,,,,,,,,,,,,
2018-05-16,,,,,,,,,,,,,,,,
2018-05-17,,,,,,,,,,,,,,,,
2018-05-18,,,,,,,,,,,,,,,,
2018-05-19,,,,,,,,,,,,,,,,
2018-05-20,0.1029943,100.096829298452,0.1052031,98.87770944677371,0.1655711,96.0486028312294,0.15645810000000002,100.164613805242,0.16864289999999998,103.447151763532,0.1347492,101.153953973246,0.1424869,100.543336604914,0.1293549,99.81506751733009
2018-05-21,,,,,,,,,,,,,,,,
2018-05-22,,,,,,,,,,,,,,,,
2018-05-23,,,,,,,,,,,,,,,,
2018-05-24,,,,,,,,,,,,,,,,
2018-05-25,,,,,,,,,,,,,,,,
2018-05-26,,,,,,,,,,,,,,,,
2018-05-27,,,,,,,,,,,,,,,,
2018-05-28,,,,,,,,,,,,,,,,
2018-05-29,,,,,,,,,,,,,,,,
2018-05-30,,,,,,,,,,,,,,,,
2018-05-31,0.10240430000000002,99.93763909890791,0.105235,98.7476129711877,0.1676415,96.9230138912826,0.1511349,98.5484871438833,0.1683286,104.27813923009501,0.1304913,100.215932713834,0.14220529999999998,100.642797562228,0.1290636,99.637038236461
2018-06-01,,,,,,,,,,,,,,,,
2018-06-02,,,,,,,,,,,,,,,,
2018-06-03,,,,,,,,,,,,,,,,
2018-06-04,,,,,,,,,,,,,,,,
2018-06-05,,,,,,,,,,,,,,,,
2018-06-06,,,,,,,,,,,,,,,,
2018-06-07,,,,,,,,,,,,,,,,
2018-06-08,,,,,,,,,,,,,,,,
2018-06-09,,,,,,,,,,,,,,,,
2018-06-10,0.10210239999999998,99.86415799954442,0.10507770000000001,98.5192041603826,0.17004979999999997,97.45332377916408,0.1502854,98.6287001385236,0.16911429999999997,104.696259706229,0.1291188,100.257642373579,0.14360379999999998,101.175462296418,0.1287818,99.3608689514583
2018-06-11,,,,,,,,,,,,,,,,
2018-06-12,,,,,,,,,,,,,,,,
2018-06-13,,,,,,,,,,,,,,,,
2018-06-14,,,,,,,,,,,,,,,,
2018-06-15,,,,,,,,,,,,,,,,
2018-06-16,,,,,,,,,,,,,,,,
2018-06-17,,,,,,,,,,,,,,,,
2018-06-18,,,,,,,,,,,,,,,,
2018-06-19,,,,,,,,,,,,,,,,
2018-06-20,0.1018671,99.7966834563812,0.10521269999999999,98.37155165256391,0.174258,97.83761498509041,0.1498025,98.37321879249609,0.17055710000000002,104.813271580004,0.12862010000000001,100.279527200989,0.146305,101.736103373272,0.1290304,99.09391511694972
2018-06-21,,,,,,,,,,,,,,,,
2018-06-22,,,,,,,,,,,,,,,,
2018-06-23,,,,,,,,,,,,,,,,
2018-06-24,,,,,,,,,,,,,,,,
2018-06-25,,,,,,,,,,,,,,,,
2018-06-26,,,,,,,,,,,,,,,,
2018-06-27,,,,,,,,,,,,,,,,
2018-06-28,,,,,,,,,,,,,,,,
2018-06-29,,,,,,,,,,,,,,,,
2018-06-30,0.10166410000000001,99.7103311074543,0.1067562,98.9801813838745,0.1828006,98.66982567528049,0.1509249,97.8780295682648,0.17157139999999999,103.79441929926,0.1284905,99.8050761830047,0.1507993,102.26480667657101,0.1316344,99.62805622214609
2018-07-01,,,,,,,,,,,,,,,,
2018-07-02,,,,,,,,,,,,,,,,
2018-07-03,,,,,,,,,,,,,,,,
2018-07-04,,,,,,,,,,,,,,,,
2018-07-05,,,,,,,,,,,,,,,,
2018-07-06,,,,,,,,,,,,,,,,
2018-07-07,,,,,,,,,,,,,,,,
2018-07-08,,,,,,,,,,,,,,,,
2018-07-09,,,,,,,,,,,,,,,,
2018-07-10,0.10211369999999999,100.00486501874,0.1188545,105.139526427082,0.21481679999999997,99.22647230303221,0.1728976,100.36033756376101,0.1812571,102.358488478218,0.1355874,99.6446696146883,0.17092960000000001,103.773290670955,0.1518919,106.289942588493
2018-07-11,,,,,,,,,,,,,,,,
2018-07-12,,,,,,,,,,,,,,,,
2018-07-13,,,,,,,,,,,,,,,,
2018-07-14,,,,,,,,,,,,,,,,
2018-07-15,,,,,,,,,,,,,,,,
2018-07-16,,,,,,,,,,,,,,,,
2018-07-17,,,,,,,,,,,,,,,,
2018-07-18,,,,,,,,,,,,,,,,
2018-07-19,,,,,,,,,,,,,,,,
2018-07-20,0.1028954,100.3921913668,0.1273599,108.601612614841,0.23710830000000002,99.6824211955295,0.1940345,102.38983530154199,0.1914429,102.17024530466401,0.14291800000000002,99.69015738103408,0.1874378,105.407746280351,0.1679098,110.020059203176
2018-07-21,,,,,,,,,,,,,,,,
2018-07-22,,,,,,,,,,,,,,,,
2018-07-23,,,,,,,,,,,,,,,,
2018-07-24,,,,,,,,,,,,,,,,
2018-07-25,,,,,,,,,,,,,,,,
2018-07-26,,,,,,,,,,,,,,,,
2018-07-27,,,,,,,,,,,,,,,,
2018-07-28,,,,,,,,,,,,,,,,
2018-07-29,,,,,,,,,,,,,,,,
2018-07-30,,,,,,,,,,,,,,,,
2018-07-31,0.10399660000000001,100.868734783386,0.1352922,110.296455781045,0.2625938,99.7441253980192,0.2246673,105.24982085857599,0.2026429,101.18436898869301,0.153079,99.2081578935798,0.20652289999999998,106.373814390325,0.187513,113.097173963456
2018-08-01,,,,,,,,,,,,,,,,
2018-08-02,,,,,,,,,,,,,,,,
2018-08-03,,,,,,,,,,,,,,,,
2018-08-04,,,,,,,,,,,,,,,,
2018-08-05,,,,,,,,,,,,,,,,
2018-08-06,,,,,,,,,,,,,,,,
2018-08-07,,,,,,,,,,,,,,,,
2018-08-08,,,,,,,,,,,,,,,,
2018-08-09,,,,,,,,,,,,,,,,
2018-08-10,0.10724180000000001,101.905026691112,0.1478307,108.15663111027,0.3163611,99.0571269355571,0.3028313,109.98211078966601,0.2257428,97.6426345609065,0.1845281,97.58285643432941,0.2465407,105.231692642138,0.22845100000000002,114.067324263419
2018-08-11,,,,,,,,,,,,,,,,
2018-08-12,,,,,,,,,,,,,,,,
2018-08-13,,,,,,,,,,,,,,,,
2018-08-14,,,,,,,,,,,,,,,,
2018-08-15,,,,,,,,,,,,,,,,
2018-08-16,,,,,,,,,,,,,,,,
2018-08-17,,,,,,,,,,,,,,,,
2018-08-18,,,,,,,,,,,,,,,,
2018-08-19,,,,,,,,,,,,,,,,
2018-08-20,0.10903579999999999,102.266592073873,0.1517365,106.04711382731399,0.3430829,99.2506765549655,0.3371209,110.05275196625901,0.2383,96.3247577681256,0.20590070000000002,97.82798759702021,0.26763899999999996,104.849900840545,0.2447757,112.35778307595301
2018-08-21,,,,,,,,,,,,,,,,
2018-08-22,,,,,,,,,,,,,,,,
2018-08-23,,,,,,,,,,,,,,,,
2018-08-24,,,,,,,,,,,,,,,,
2018-08-25,,,,,,,,,,,,,,,,
2018-08-26,,,,,,,,,,,,,,,,
2018-08-27,,,,,,,,,,,,,,,,
2018-08-28,,,,,,,,,,,,,,,,
2018-08-29,,,,,,,,,,,,,,,,
2018-08-30,,,,,,,,,,,,,,,,
2018-08-31,0.1104672,102.418855559257,0.1530332,104.10997959162701,0.3661998,99.64392005403091,0.3592856,108.56652659244,0.2501714,95.496050947957,0.22803160000000003,99.5897226490721,0.28665440000000003,105.00744696280898,0.25388879999999997,109.83077702626998
2018-09-01,,,,,,,,,,,,,,,,
2018-09-02,,,,,,,,,,,,,,,,
2018-09-03,,,,,,,,,,,,,,,,
2018-09-04,,,,,,,,,,,,,,,,
2018-09-05,,,,,,,,,,,,,,,,
2018-09-06,,,,,,,,,,,,,,,,
2018-09-07,,,,,,,,,,,,,,,,
2018-09-08,,,,,,,,,,,,,,,,
2018-09-09,,,,,,,,,,,,,,,,
2018-09-10,0.11156469999999999,102.600760910222,0.1511419,102.72861036786101,0.38315479999999996,100.149638989003,0.36869359999999995,106.885611501241,0.25904279999999996,94.8732558325157,0.2470237,102.946531342638,0.3003469,105.73165078640801,0.2561982,108.17985094269301
2018-09-11,,,,,,,,,,,,,,,,
2018-09-12,,,,,,,,,,,,,,,,
2018-09-13,,,,,,,,,,,,,,,,
2018-09-14,,,,,,,,,,,,,,,,
2018-09-15,,,,,,,,,,,,,,,,
2018-09-16,,,,,,,,,,,,,,,,
2018-09-17,,,,,,,,,,,,,,,,
2018-09-18,,,,,,,,,,,,,,,,
2018-09-19,,,,,,,,,,,,,,,,
2018-09-20,0.1123184,103.168102996239,0.14167220000000003,102.253095245208,0.38945100000000005,100.518476990139,0.3591528,105.98168833385701,0.26382859999999997,94.4779111025212,0.263719,112.102554940146,0.2968469,105.77219116439801,0.2463144,109.382478612759
2018-09-21,,,,,,,,,,,,,,,,
2018-09-22,,,,,,,,,,,,,,,,
2018-09-23,,,,,,,,,,,,,,,,
2018-09-24,,,,,,,,,,,,,,,,
2018-09-25,,,,,,,,,,,,,,,,
2018-09-26,,,,,,,,,,,,,,,,
2018-09-27,,,,,,,,,,,,,,,,
2018-09-28,,,,,,,,,,,,,,,,
2018-09-29,,,,,,,,,,,,,,,,
2018-09-30,0.11182049999999999,103.351801880918,0.13591779999999998,102.850551821426,0.3800408,100.587609811367,0.3432897,106.395502974715,0.2599,94.9906020914485,0.25522649999999997,114.591029637906,0.2818538,105.07481646551201,0.2358509,111.171829454356
2018-10-01,,,,,,,,,,,,,,,,
2018-10-02,,,,,,,,,,,,,,,,
2018-10-03,,,,,,,,,,,,,,,,
2018-10-04,,,,,,,,,,,,,,,,
2018-10-05,,,,,,,,,,,,,,,,
2018-10-06,,,,,,,,,,,,,,,,
2018-10-07,,,,,,,,,,,,,,,,
2018-10-08,,,,,,,,,,,,,,,,
2018-10-09,,,,,,,,,,,,,,,,
2018-10-10,0.11074660000000001,103.26583919482401,0.1303674,103.39363234627301,0.3642444,100.54341507577,0.3230625,106.71914767140899,0.2507286,95.36561481663759,0.23719659999999998,114.30551216202,0.26286550000000003,104.19597397511,0.22043569999999998,111.606998782967
2018-10-11,,,,,,,,,,,,,,,,
2018-10-12,,,,,,,,,,,,,,,,
2018-10-13,,,,,,,,,,,,,,,,
2018-10-14,,,,,,,,,,,,,,,,
2018-10-15,,,,,,,,,,,,,,,,
2018-10-16,,,,,,,,,,,,,,,,
2018-10-17,,,,,,,,,,,,,,,,
2018-10-18,,,,,,,,,,,,,,,,
2018-10-19,,,,,,,,,,,,,,,,
2018-10-20,0.10937910000000002,102.945705490167,0.1252422,103.32244345903,0.3428629,99.99447674966129,0.3018814,106.849217733717,0.2397143,95.9863644465766,0.2156969,111.947371902609,0.2434238,103.262862908377,0.2038396,110.769738309136
2018-10-21,,,,,,,,,,,,,,,,
2018-10-22,,,,,,,,,,,,,,,,
2018-10-23,,,,,,,,,,,,,,,,
2018-10-24,,,,,,,,,,,,,,,,
2018-10-25,,,,,,,,,,,,,,,,
2018-10-26,,,,,,,,,,,,,,,,
2018-10-27,,,,,,,,,,,,,,,,
2018-10-28,,,,,,,,,,,,,,,,
2018-10-29,,,,,,,,,,,,,,,,
2018-10-30,,,,,,,,,,,,,,,,
2018-10-31,0.107299,102.365350963106,0.1188807,102.87429140204,0.2984412,98.9721632518112,0.2656887,107.298058641151,0.2196286,98.0009348355642,0.18389760000000002,107.32669360185899,0.2127163,102.123667314407,0.1789895,108.47755430166401
2018-11-01,,,,,,,,,,,,,,,,
2018-11-02,,,,,,,,,,,,,,,,
2018-11-03,,,,,,,,,,,,,,,,
2018-11-04,,,,,,,,,,,,,,,,
2018-11-05,,,,,,,,,,,,,,,,
2018-11-06,,,,,,,,,,,,,,,,
2018-11-07,,,,,,,,,,,,,,,,
2018-11-08,,,,,,,,,,,,,,,,
2018-11-09,,,,,,,,,,,,,,,,
2018-11-10,0.10689560000000001,102.30595882086,0.1176135,102.961248900443,0.2797334,98.82637212976981,0.2530478,107.831072796199,0.2118286,98.9900189035917,0.1763533,106.580690789133,0.2019155,101.764715387381,0.1720774,107.830787973192
2018-11-11,,,,,,,,,,,,,,,,
2018-11-12,,,,,,,,,,,,,,,,
2018-11-13,,,,,,,,,,,,,,,,
2018-11-14,,,,,,,,,,,,,,,,
2018-11-15,,,,,,,,,,,,,,,,
2018-11-16,,,,,,,,,,,,,,,,
2018-11-17,,,,,,,,,,,,,,,,
2018-11-18,,,,,,,,,,,,,,,,
2018-11-19,,,,,,,,,,,,,,,,
2018-11-20,0.10671169999999999,102.330506122721,0.1164346,102.835481987451,0.2637615,98.7738949298345,0.24148360000000002,107.78734338986,0.2051286,99.64295031924351,0.1710225,106.14869774569799,0.1928114,101.41366856745701,0.1664816,107.114544125789
2018-11-21,,,,,,,,,,,,,,,,
2018-11-22,,,,,,,,,,,,,,,,
2018-11-23,,,,,,,,,,,,,,,,
2018-11-24,,,,,,,,,,,,,,,,
2018-11-25,,,,,,,,,,,,,,,,
2018-11-26,,,,,,,,,,,,,,,,
2018-11-27,,,,,,,,,,,,,,,,
2018-11-28,,,,,,,,,,,,,,,,
2018-11-29,,,,,,,,,,,,,,,,
2018-11-30,0.1066748,102.42787218449699,0.1156635,102.879330795457,0.24189879999999997,98.9806880050782,0.2242907,106.86511863482299,0.19371429999999998,99.51584320130671,0.1646466,105.27036988175101,0.18102520000000002,101.07756178512399,0.1603675,106.37800264671301
2018-12-01,,,,,,,,,,,,,,,,
2018-12-02,,,,,,,,,,,,,,,,
2018-12-03,,,,,,,,,,,,,,,,
2018-12-04,,,,,,,,,,,,,,,,
2018-12-05,,,,,,,,,,,,,,,,
2018-12-06,,,,,,,,,,,,,,,,
2018-12-07,,,,,,,,,,,,,,,,
2018-12-08,,,,,,,,,,,,,,,,
2018-12-09,,,,,,,,,,,,,,,,
2018-12-10,0.1067278,102.471364431941,0.11590339999999999,102.992558490069,0.23483679999999998,99.086145803402,0.21857970000000002,106.298693408785,0.1895571,99.318864013267,0.1627807,104.92869330229901,0.1772918,100.895037409749,0.15945879999999998,106.47911810831499
2018-12-11,,,,,,,,,,,,,,,,
2018-12-12,,,,,,,,,,,,,,,,
2018-12-13,,,,,,,,,,,,,,,,
2018-12-14,,,,,,,,,,,,,,,,
2018-12-15,,,,,,,,,,,,,,,,
2018-12-16,,,,,,,,,,,,,,,,
2018-12-17,,,,,,,,,,,,,,,,
2018-12-18,,,,,,,,,,,,,,,,
2018-12-19,,,,,,,,,,,,,,,,
2018-12-20,0.1068318,102.56209372588499,0.1155902,102.89272425851999,0.22857080000000002,99.06719138188679,0.21394520000000003,106.05558466439301,0.18554289999999998,99.0627552346497,0.161254,104.99493051828001,0.1740444,100.83714248165,0.1591279,107.02745443239799
2018-12-21,,,,,,,,,,,,,,,,
2018-12-22,,,,,,,,,,,,,,,,
2018-12-23,,,,,,,,,,,,,,,,
2018-12-24,,,,,,,,,,,,,,,,
2018-12-25,,,,,,,,,,,,,,,,
2018-12-26,,,,,,,,,,,,,,,,
2018-12-27,,,,,,,,,,,,,,,,
2018-12-28,,,,,,,,,,,,,,,,
2018-12-29,,,,,,,,,,,,,,,,
2018-12-30,,,,,,,,,,,,,,,,
2018-12-31,0.1069223,102.598263596261,0.1152434,102.582449474962,0.22331460000000003,98.99417439719281,0.2109091,106.209648661455,0.18241429999999997,98.9839437819421,0.1608764,105.19561890281,0.17173870000000002,100.88303886572099,0.15899829999999998,107.39036715986099
2019-01-01,,,,,,,,,,,,,,,,
2019-01-02,,,,,,,,,,,,,,,,
2019-01-03,,,,,,,,,,,,,,,,
2019-01-04,,,,,,,,,,,,,,,,
2019-01-05,,,,,,,,,,,,,,,,
2019-01-06,,,,,,,,,,,,,,,,
2019-01-07,,,,,,,,,,,,,,,,
2019-01-08,,,,,,,,,,,,,,,,
2019-01-09,,,,,,,,,,,,,,,,
2019-01-10,0.1064432,102.217053250572,0.1127593,101.237105835403,0.21532240000000002,99.3690802113802,0.2000095,104.56702114934,0.1766714,98.75518780666108,0.157864,105.02207664453199,0.1678196,101.301264617136,0.1516512,104.724057774722
2019-01-11,,,,,,,,,,,,,,,,
2019-01-12,,,,,,,,,,,,,,,,
2019-01-13,,,,,,,,,,,,,,,,
2019-01-14,,,,,,,,,,,,,,,,
2019-01-15,,,,,,,,,,,,,,,,
2019-01-16,,,,,,,,,,,,,,,,
2019-01-17,,,,,,,,,,,,,,,,
2019-01-18,,,,,,,,,,,,,,,,
2019-01-19,,,,,,,,,,,,,,,,
2019-01-20,0.1063864,102.123624737486,0.1118483,100.91003917358299,0.2120371,99.7345229748956,0.19584379999999998,104.230813584732,0.1737,98.37291116974501,0.15602729999999998,104.74205095381399,0.16554270000000001,101.189670276224,0.148504,103.898115949008
2019-01-21,,,,,,,,,,,,,,,,
2019-01-22,,,,,,,,,,,,,,,,
2019-01-23,,,,,,,,,,,,,,,,
2019-01-24,,,,,,,,,,,,,,,,
2019-01-25,,,,,,,,,,,,,,,,
2019-01-26,,,,,,,,,,,,,,,,
2019-01-27,,,,,,,,,,,,,,,,
2019-01-28,,,,,,,,,,,,,,,,
2019-01-29,,,,,,,,,,,,,,,,
2019-01-30,,,,,,,,,,,,,,,,
2019-01-31,0.1062578,101.867621077885,0.1120519,101.327654966029,0.2065596,100.715206269037,0.1907025,104.744981039919,0.1696571,98.21154794549341,0.15395379999999997,104.390993930131,0.162397,101.43874068997499,0.1468009,104.322582184138
2019-02-01,,,,,,,,,,,,,,,,
2019-02-02,,,,,,,,,,,,,,,,
2019-02-03,,,,,,,,,,,,,,,,
2019-02-04,,,,,,,,,,,,,,,,
2019-02-05,,,,,,,,,,,,,,,,
2019-02-06,,,,,,,,,,,,,,,,
2019-02-07,,,,,,,,,,,,,,,,
2019-02-08,,,,,,,,,,,,,,,,
2019-02-09,,,,,,,,,,,,,,,,
2019-02-10,0.106189,101.744301559559,0.11175270000000001,101.311801516113,0.2029263,100.856694309985,0.1883126,104.892678851708,0.1681714,98.3893509104463,0.1530176,104.384649279988,0.16074639999999998,101.776667028867,0.1458914,104.275648996695
2019-02-11,,,,,,,,,,,,,,,,
2019-02-12,,,,,,,,,,,,,,,,
2019-02-13,,,,,,,,,,,,,,,,
2019-02-14,,,,,,,,,,,,,,,,
2019-02-15,,,,,,,,,,,,,,,,
2019-02-16,,,,,,,,,,,,,,,,
2019-02-17,,,,,,,,,,,,,,,,
2019-02-18,,,,,,,,,,,,,,,,
2019-02-19,,,,,,,,,,,,,,,,
2019-02-20,0.1060467,101.63280246086201,0.11024790000000001,100.759811241861,0.19772220000000001,100.500754803786,0.1849557,104.758913208934,0.1666571,98.43575647432979,0.1512437,104.326375259074,0.1575378,101.494559170821,0.1431469,103.49947994896499
2019-02-21,,,,,,,,,,,,,,,,
2019-02-22,,,,,,,,,,,,,,,,
2019-02-23,,,,,,,,,,,,,,,,
2019-02-24,,,,,,,,,,,,,,,,
2019-02-25,,,,,,,,,,,,,,,,
2019-02-26,,,,,,,,,,,,,,,,
2019-02-27,,,,,,,,,,,,,,,,
2019-02-28,0.10589929999999999,101.536933492684,0.1091684,100.401813142381,0.1928446,100.153625922323,0.1809239,104.257971365209,0.16621429999999998,98.7601893950813,0.14884239999999999,103.861486260614,0.15493320000000002,101.345265311956,0.1402929,102.55314585293699
2019-03-01,,,,,,,,,,,,,,,,
2019-03-02,,,,,,,,,,,,,,,,
2019-03-03,,,,,,,,,,,,,,,,
2019-03-04,,,,,,,,,,,,,,,,
2019-03-05,,,,,,,,,,,,,,,,
2019-03-06,,,,,,,,,,,,,,,,
2019-03-07,,,,,,,,,,,,,,,,
2019-03-08,,,,,,,,,,,,,,,,
2019-03-09,,,,,,,,,,,,,,,,
