AdminStrata,Agadez,Agadez,Diffa,Diffa,Dosso,Dosso,Maradi,Maradi,Niamey,Niamey,Tahoua,Tahoua,Tillaberi,Tillaberi,Zinder,Zinder
Indicator,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly
2018-01-20,0.1031922,100.037744621718,0.1052971,96.82546214290659,0.1996655,95.025740804599,0.1839404,99.1841088623652,0.1760857,99.42203166226909,0.1441865,98.72231630246509,0.16075150000000002,98.9403714216234,0.13615370000000002,97.43389909995159
2018-01-21,,,,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,,,,
2018-01-24,,,,,,,,,,,,,,,,
2018-01-25,,,,,,,,,,,,,,,,
2018-01-26,,,,,,,,,,,,,,,,
2018-01-27,,,,,,,,,,,,,,,,
2018-01-28,,,,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,
2018-01-30,,,,,,,,,,,,,,,,
2018-01-31,0.1029757,99.7279536875868,0.1046721,96.7132207747707,0.19210339999999998,95.04027083545151,0.17722420000000003,98.87971467189091,0.1716714,99.1121676888416,0.1413407,97.93514929502199,0.15704100000000001,98.88076720101058,0.13345420000000002,97.2476033215565
2018-02-01,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,
2018-02-10,0.1030204,99.68021898062229,0.10486720000000001,96.9991538178723,0.1890124,95.30839838757721,0.17499320000000002,99.0301791488077,0.1710429,99.6843190920656,0.1404305,97.9127964999725,0.1553306,99.16119139894,0.1332122,97.5263388750724
2018-02-11,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,
2018-02-20,0.1032261,99.7957531504881,0.1053472,97.6783754979109,0.1872241,96.2416816403564,0.1747058,100.188824530514,0.17157139999999999,100.668514311676,0.1410323,99.0327022232452,0.1545125,100.01506247258301,0.1339229,98.55671771436899
2018-02-21,,,,,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,,,,,
2018-02-28,0.10348519999999999,99.9646345077326,0.10560239999999999,98.152416492884,0.1865831,97.5712669622608,0.17519200000000001,101.670122008481,0.17274289999999998,101.742257521402,0.1421277,100.35419243498,0.1546068,101.18385127754,0.1344921,99.4269635914665
2018-03-01,,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,,,,,
2018-03-10,0.10372550000000001,100.172748148708,0.10534790000000001,98.6686068261688,0.1840741,99.43349346686621,0.1700857,101.97820925564501,0.17437139999999998,103.064492420763,0.1409328,101.22971114459499,0.15403889999999998,103.023985369344,0.1336555,100.514240960967
2018-03-11,,,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,
2018-03-20,0.1037558,100.208817521902,0.10535239999999998,98.9334961926954,0.1814977,99.5278506628879,0.1677797,102.10708083433701,0.1746429,103.284091954023,0.1406193,101.71440249639299,0.1527471,103.22189282385,0.13264360000000003,100.51920691336599
2018-03-21,,,,,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,,,,,
2018-03-29,,,,,,,,,,,,,,,,
2018-03-30,,,,,,,,,,,,,,,,
2018-03-31,0.1038854,100.30420020506,0.10531780000000002,99.05718318248991,0.1783838,99.1683854467453,0.1662332,102.30805989922199,0.1743286,103.227721323447,0.1401416,101.83613058095,0.15078470000000002,102.895594011102,0.1315522,100.387833506957
2018-04-01,,,,,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,,,,,
2018-04-03,,,,,,,,,,,,,,,,
2018-04-04,,,,,,,,,,,,,,,,
2018-04-05,,,,,,,,,,,,,,,,
2018-04-06,,,,,,,,,,,,,,,,
2018-04-07,,,,,,,,,,,,,,,,
2018-04-08,,,,,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,,,,,
2018-04-10,0.10369089999999999,100.20015138485901,0.1050712,98.91378741769209,0.1743696,98.21950831936519,0.1639021,101.976824456653,0.1736286,103.06823848673099,0.13870410000000002,101.388405329895,0.1481416,102.135003301551,0.1305607,100.155924463999
2018-04-11,,,,,,,,,,,,,,,,
2018-04-12,,,,,,,,,,,,,,,,
2018-04-13,,,,,,,,,,,,,,,,
2018-04-14,,,,,,,,,,,,,,,,
2018-04-15,,,,,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,,,,,
2018-04-17,,,,,,,,,,,,,,,,
2018-04-18,,,,,,,,,,,,,,,,
2018-04-19,,,,,,,,,,,,,,,,
2018-04-20,0.10333769999999999,100.079756943651,0.10456520000000001,98.59889156528129,0.1686116,96.65727705342708,0.1616615,101.865581314541,0.1720857,103.124391998221,0.13636510000000002,100.977508791131,0.1444373,101.044077739126,0.12874870000000002,99.5240627270627
2018-04-21,,,,,,,,,,,,,,,,
2018-04-22,,,,,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,,,,,
2018-04-24,,,,,,,,,,,,,,,,
2018-04-25,,,,,,,,,,,,,,,,
2018-04-26,,,,,,,,,,,,,,,,
2018-04-27,,,,,,,,,,,,,,,,
2018-04-28,,,,,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,,,,,
2018-04-30,0.10324569999999998,100.088040759998,0.1046492,98.6466867554417,0.1672233,96.37141962234621,0.16060729999999998,101.588213474491,0.17105710000000002,103.22193380466999,0.1362734,101.359764276328,0.1439261,100.99912659752701,0.1290311,99.674527338089
2018-05-01,,,,,,,,,,,,,,,,
