AdminStrata,Abyan,Abyan,Abyan,Aden,Aden,Aden,Al Bayda,Al Bayda,Al Bayda,Al Dhale'e,Al Dhale'e,Al Dhale'e,Al Hudaydah,Al Hudaydah,Al Hudaydah,Al Jawf,Al Jawf,Al Jawf,Al Maharah,Al Maharah,Al Maharah,Al Mahwit,Al Mahwit,Al Mahwit,Amanat Al Asimah,Amanat Al Asimah,Amanat Al Asimah,Amran,Amran,Amran,Dhamar,Dhamar,Dhamar,Hadramaut,Hadramaut,Hadramaut,Hajjah,Hajjah,Hajjah,Ibb,Ibb,Ibb,Lahj,Lahj,Lahj,Marib,Marib,Marib,Raymah,Raymah,Raymah,Sa'ada,Sa'ada,Sa'ada,Sana'a,Sana'a,Sana'a,Shabwah,Shabwah,Shabwah,Socotra,Socotra,Socotra,Taizz,Taizz,Taizz
Indicator,1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm),1 Month Anomaly Rainfalls (%),3 Months Anomaly Rainfalls (%),Rainfalls (mm)
2018-01-10,111.57347204161199,115.58882002105,0.7759999999999999,100.35,100.32203649747,0.042,119.61005478569099,127.042960175604,1.0,110.858967893764,120.90013140604499,0.511,105.261927034612,112.287098286369,0.816,102.10182157870199,104.702177906061,1.517,104.511733535201,106.78343838144698,4.346,108.18784351762,108.496547039511,0.821,118.1907186215,116.182828906733,0.14300000000000002,107.604804709251,109.133060826063,1.068,115.880052151239,119.14214817440599,0.965,108.215745028603,112.06368415081499,3.552,94.7933284989123,93.43510242822121,0.982,118.129841386942,113.457921242643,0.8270000000000001,106.02804888050501,106.357808472672,0.531,106.869881710646,111.64847107642099,1.986,112.62734584450399,106.328681287383,0.222,99.5968992248062,98.71583411875591,0.8029999999999999,112.90216135951201,114.555289973582,0.95,105.14931712736099,108.365589316818,1.671,82.433475732153,79.0072150853492,1.278,109.39269171384501,101.883656509695,0.7829999999999999
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
