AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Cascades,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Est,Est,Est,Est,Est,Est,Est,Est,Est,Est,Est,Est,Est,Est,Est,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Nord,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sahel,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest
Indicator,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI,1 Month Anomaly (%) Rainfall,3 Months Anomaly (%) Rainfall,Cereals and tubers,Code,FCS,Fatality,Lat,Lon,NDVI,NDVI Anomaly,Population,Pulses and nuts,Rainfall (mm),Ramadan,rCSI
2016-01-10,100.0,189.59296623231003,,,,,,,0.28620005000000004,102.1609840514025,,,0.0,,,109.51390951391,174.73368104947102,,,,,,,0.3883586499999999,105.032788703885,,,0.725,,,100.0,155.165162533953,,,,,,,0.242024,100.7163725495945,,,0.0,,,101.179528188725,149.69727012003,,,,,,,0.26262095,100.3089443207156,,,0.0,,,100.0,178.928274057333,,,,,,,0.21649945,100.7081897656082,,,0.0,,,100.83,158.6284853052,,,,,,,0.29154840000000004,102.15826993837852,,,0.0,,,104.7,150.729445215449,,,,,,,0.28216065,101.89108264584999,,,0.0,,,100.01,153.680162859082,,,,,,,0.26211215,99.61144749809786,,,0.001,,,100.4,193.682675777425,,,,,,,0.33998175,102.416149419024,,,0.04,,,100.0,194.970963995354,,,,,,,0.2289266,101.58181563912126,,,0.0,,,100.0,169.249312955017,,,,,,,0.24271695,100.41200154091077,,,0.0,,,100.0,130.814777749979,,,,,,,0.18247165,102.31815186921749,,,0.0,,,102.645238570573,157.964601769912,,,,,,,0.33374990000000004,104.551613092181,,,0.093,,
2016-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
