AdminStrata,Adamawa,Adamawa,Central,Central,East,East,Far-North,Far-North,Littoral,Littoral,North,North,North-West,North-West,South,South,South-West,South-West,West,West
Indicator,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly
2018-01-20,0.477195,104.701025293323,0.6603654999999999,99.10871766567541,0.6921599,99.695617749949,0.2652058,94.1339951261468,0.6524401999999999,96.0249924096205,0.3321542,98.7791736553166,0.4971313,98.0304021990808,0.7175461999999999,97.7146461045839,0.6748705,98.111656122855,0.5176907999999999,100.164974050552
2018-01-21,,,,,,,,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,,,,,,,,
2018-01-24,,,,,,,,,,,,,,,,,,,,
2018-01-25,,,,,,,,,,,,,,,,,,,,
2018-01-26,,,,,,,,,,,,,,,,,,,,
2018-01-27,,,,,,,,,,,,,,,,,,,,
2018-01-28,,,,,,,,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,,,
2018-01-30,,,,,,,,,,,,,,,,,,,,
2018-01-31,0.4598853,102.781199549032,0.6506384,99.5160399388846,0.6838835999999999,99.61576692620191,0.25090100000000004,95.15802536210691,0.6545684,96.3284051793264,0.31015970000000004,98.6335722493709,0.4764842000000001,100.083490956097,0.719344,97.8302956981419,0.6778715,98.3660913306606,0.491728,100.239251713897
2018-02-01,,,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,,,,,
2018-02-10,0.46006499999999995,102.22567028446,0.6534166,100.00345468666599,0.6873118,99.80019975963329,0.24365229999999996,95.66290305398941,0.6641180999999999,96.8835780867138,0.3025957,98.2708193979933,0.4777276,101.622368152981,0.7264662,98.1540173729429,0.6854252,98.6773078146154,0.4868036,100.231550507083
2018-02-11,,,,,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,
2018-02-20,0.46661220000000003,102.36376241943701,0.6612898,100.7028773715,0.6955953,100.163021180797,0.23678600000000002,96.1896248991687,0.6781753,97.65699746447979,0.2975413,97.9915390484418,0.48769409999999996,103.623149862265,0.7368509,98.6311612441213,0.6961986,99.11908445780091,0.4895715,100.705836637024
2018-02-21,,,,,,,,,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,,,,,,,,,
2018-02-28,0.4795339,103.364811873446,0.6735899999999999,101.552015812917,0.7077945,100.65309429488899,0.23030789999999998,96.7332484166114,0.69508,98.5229491509556,0.295468,98.0308586028557,0.5056237,105.939812508258,0.7492601999999999,99.1854056541351,0.7089189,99.56681837688221,0.5005298,101.811687607978
2018-03-01,,,,,,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,,,,,,,,,
2018-03-10,0.5196556999999999,106.94182847014,0.7074085999999999,103.301012240226,0.7396098000000001,101.78902038049699,0.22042550000000002,98.5107841651561,0.7300974,100.033686626153,0.3033425,100.18429651892201,0.5536266,109.141874568316,0.7752249,100.19490794051,0.7358892,100.479120282281,0.5455496,105.403371034097
2018-03-11,,,,,,,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,,,,,
2018-03-20,0.5420232,108.311126153734,0.726271,103.936450588241,0.7566791,102.26484403098,0.2189991,100.02323967805,0.745976,100.550098891983,0.3124141,101.66937194674101,0.5803501,109.477500540571,0.7869638000000001,100.520096902202,0.7461557,100.569686594687,0.5756933000000001,107.09189753915301
2018-03-21,,,,,,,,,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,,,,,,,,,
