AdminStrata,Adamawa,Adamawa,Adamawa,Adamawa,Borno,Borno,Borno,Borno,Yobe,Yobe,Yobe,Yobe
Food Group,Cereals and tubers,Cereals and tubers,Fuel,Fuel,Cereals and tubers,Cereals and tubers,Fuel,Fuel,Cereals and tubers,Cereals and tubers,Fuel,Fuel
Commodity,Bread - Retail (Unit),Rice (local) - Retail (KG),Fuel (diesel) - Retail (L),Fuel (petrol-gasoline) - Retail (L),Bread - Retail (Unit),Rice (local) - Retail (KG),Fuel (diesel) - Retail (L),Fuel (petrol-gasoline) - Retail (L),Bread - Retail (Unit),Rice (local) - Retail (KG),Fuel (diesel) - Retail (L),Fuel (petrol-gasoline) - Retail (L)
2018-01-31,,,,,0.7246376811594202,0.24116281064099943,0.7417536598575001,0.9019102190745156,0.26282141706924317,0.8157379768485916,1.0000000000000002,0.966452099857221
2018-02-01,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,
2018-02-10,,,,,,,,,,,,
2018-02-11,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,
2018-02-20,,,,,,,,,,,,
2018-02-21,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,
2018-02-28,0.7987117552334944,0.06510894913893239,0.7636063246559701,0.8906388572650594,0.7496536231884057,0.35835580128299627,0.7563908221281734,0.768742098410562,0.26282141706924317,0.9482022846646213,0.897952178535447,1.0
2018-03-01,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,
2018-03-10,,,,,,,,,,,,
2018-03-11,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,
2018-03-20,,,,,,,,,,,,
2018-03-21,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,
2018-03-29,,,,,,,,,,,,
2018-03-30,,,,,,,,,,,,
2018-03-31,0.7987117552334944,0.07048055869098635,0.681143438624008,0.6893645392390573,0.8508906602254427,0.3227448719899233,0.7615447525051711,0.6581670199450271,0.26282141706924317,0.9606337363451122,0.9010445367616455,0.8484132664934869
2018-04-01,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,
2018-04-03,,,,,,,,,,,,
2018-04-04,,,,,,,,,,,,
2018-04-05,,,,,,,,,,,,
2018-04-06,,,,,,,,,,,,
2018-04-07,,,,,,,,,,,,
2018-04-08,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,
2018-04-10,,,,,,,,,,,,
2018-04-11,,,,,,,,,,,,
2018-04-12,,,,,,,,,,,,
2018-04-13,,,,,,,,,,,,
2018-04-14,,,,,,,,,,,,
2018-04-15,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,
2018-04-17,,,,,,,,,,,,
2018-04-18,,,,,,,,,,,,
2018-04-19,,,,,,,,,,,,
2018-04-20,,,,,,,,,,,,
2018-04-21,,,,,,,,,,,,
2018-04-22,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,
2018-04-24,,,,,,,,,,,,
2018-04-25,,,,,,,,,,,,
2018-04-26,,,,,,,,,,,,
2018-04-27,,,,,,,,,,,,
2018-04-28,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,
2018-04-30,0.7987117552334944,0.1021728955111415,0.681143438624008,0.6453357821708694,0.8401553945249596,0.30850050027269427,0.7687602550329677,0.6277242793435942,0.2660420289855073,0.9792809138658481,0.8749312207991191,0.8235473340587596
2018-05-01,,,,,,,,,,,,
2018-05-02,,,,,,,,,,,,
2018-05-03,,,,,,,,,,,,
2018-05-04,,,,,,,,,,,,
2018-05-05,,,,,,,,,,,,
2018-05-06,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,
2018-05-08,,,,,,,,,,,,
2018-05-09,,,,,,,,,,,,
2018-05-10,,,,,,,,,,,,
2018-05-11,,,,,,,,,,,,
2018-05-12,,,,,,,,,,,,
2018-05-13,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,
2018-05-15,,,,,,,,,,,,
2018-05-16,,,,,,,,,,,,
2018-05-17,,,,,,,,,,,,
2018-05-18,,,,,,,,,,,,
2018-05-19,,,,,,,,,,,,
2018-05-20,,,,,,,,,,,,
2018-05-21,,,,,,,,,,,,
2018-05-22,,,,,,,,,,,,
2018-05-23,,,,,,,,,,,,
2018-05-24,,,,,,,,,,,,
2018-05-25,,,,,,,,,,,,
2018-05-26,,,,,,,,,,,,
2018-05-27,,,,,,,,,,,,
2018-05-28,,,,,,,,,,,,
2018-05-29,,,,,,,,,,,,
2018-05-30,,,,,,,,,,,,
2018-05-31,0.7987117552334944,0.12451891887725663,0.681143438624008,0.5887273802260562,0.8796764895330111,0.3896934190609004,0.8044254532417915,0.5906394862473032,0.25947391304347817,1.0,0.8152831352884049,0.7021454584337086
2018-06-01,,,,,,,,,,,,
2018-06-02,,,,,,,,,,,,
2018-06-03,,,,,,,,,,,,
2018-06-04,,,,,,,,,,,,
2018-06-05,,,,,,,,,,,,
2018-06-06,,,,,,,,,,,,
2018-06-07,,,,,,,,,,,,
2018-06-08,,,,,,,,,,,,
2018-06-09,,,,,,,,,,,,
2018-06-10,,,,,,,,,,,,
2018-06-11,,,,,,,,,,,,
2018-06-12,,,,,,,,,,,,
