economicdatasymbol,date,economicdatavalue,countryiso3,source
USDXOF,1/1/2019,569.22,BFA,Trading Economics
USDXOF,1/2/2019,569.22,BFA,Trading Economics
USDXOF,1/3/2019,573.48,BFA,Trading Economics
USDXOF,1/4/2019,573.45,BFA,Trading Economics
USDXOF,1/7/2019,571,BFA,Trading Economics
USDXOF,1/8/2019,569.45,BFA,Trading Economics
USDXOF,1/9/2019,568.7,BFA,Trading Economics
USDXOF,1/10/2019,568.7,BFA,Trading Economics
USDXOF,1/11/2019,565.45,BFA,Trading Economics
USDXOF,1/14/2019,568.45,BFA,Trading Economics
USDXOF,1/15/2019,567.98,BFA,Trading Economics
USDXOF,1/16/2019,570.84,BFA,Trading Economics
USDXOF,1/17/2019,573.2,BFA,Trading Economics
USDXOF,1/18/2019,579.2,BFA,Trading Economics
USDXOF,1/21/2019,579.15,BFA,Trading Economics
USDXOF,1/22/2019,574.25,BFA,Trading Economics
USDXOF,1/23/2019,573.4,BFA,Trading Economics
USDXOF,1/24/2019,573.25,BFA,Trading Economics
USDXOF,1/25/2019,576,BFA,Trading Economics
USDXOF,1/28/2019,571.45,BFA,Trading Economics
USDXOF,1/29/2019,569.7,BFA,Trading Economics
USDXOF,1/30/2019,570.22,BFA,Trading Economics
USDXOF,1/31/2019,566.25,BFA,Trading Economics
USDXOF,2/1/2019,569.72,BFA,Trading Economics
USDXOF,2/4/2019,569.38,BFA,Trading Economics
USDXOF,2/5/2019,570.7,BFA,Trading Economics
USDXOF,2/6/2019,572.13,BFA,Trading Economics
USDXOF,2/7/2019,573.7,BFA,Trading Economics
USDXOF,2/8/2019,575,BFA,Trading Economics
USDXOF,2/11/2019,573.97,BFA,Trading Economics
USDXOF,2/12/2019,577.7,BFA,Trading Economics
USDXOF,2/13/2019,575.5,BFA,Trading Economics
USDXOF,2/14/2019,577.7,BFA,Trading Economics
USDXOF,2/15/2019,578.25,BFA,Trading Economics
USDXOF,2/18/2019,578.2,BFA,Trading Economics
USDXOF,2/19/2019,576.7,BFA,Trading Economics
USDXOF,2/20/2019,574.7,BFA,Trading Economics
USDXOF,2/21/2019,575,BFA,Trading Economics
USDXOF,2/22/2019,574.7,BFA,Trading Economics
USDXOF,2/25/2019,574.22,BFA,Trading Economics
USDXOF,2/26/2019,574.2,BFA,Trading Economics
USDXOF,2/27/2019,572.7,BFA,Trading Economics
USDXOF,2/28/2019,572.41,BFA,Trading Economics
USDXOF,3/1/2019,576,BFA,Trading Economics
USDXOF,3/4/2019,573.98,BFA,Trading Economics
USDXOF,3/5/2019,575.95,BFA,Trading Economics
USDXOF,3/6/2019,576.4,BFA,Trading Economics
USDXOF,3/7/2019,576.7,BFA,Trading Economics
USDXOF,3/8/2019,573.2,BFA,Trading Economics
USDXOF,3/11/2019,579.75,BFA,Trading Economics
USDXOF,3/12/2019,579,BFA,Trading Economics
USDXOF,3/13/2019,577.17,BFA,Trading Economics
USDXOF,3/14/2019,575.45,BFA,Trading Economics
USDXOF,3/15/2019,576.25,BFA,Trading Economics
USDXOF,3/18/2019,575,BFA,Trading Economics
USDXOF,3/19/2019,574.5,BFA,Trading Economics
USDXOF,3/20/2019,567.67,BFA,Trading Economics
USDXOF,3/21/2019,577.5,BFA,Trading Economics
USDXOF,3/22/2019,572.7,BFA,Trading Economics
USDXOF,3/25/2019,576.45,BFA,Trading Economics
USDXOF,3/26/2019,576.22,BFA,Trading Economics
USDXOF,3/27/2019,579.2,BFA,Trading Economics
USDXOF,3/28/2019,578.42,BFA,Trading Economics
USDXOF,3/29/2019,580.2,BFA,Trading Economics
USDXOF,4/1/2019,580.22,BFA,Trading Economics
USDXOF,4/2/2019,583.24,BFA,Trading Economics
USDXOF,4/3/2019,580.62,BFA,Trading Economics
USDXOF,4/4/2019,588.2,BFA,Trading Economics
USDXOF,4/5/2019,582.42,BFA,Trading Economics
USDXOF,4/8/2019,580.95,BFA,Trading Economics
USDXOF,4/9/2019,575.37,BFA,Trading Economics
USDXOF,4/10/2019,574.83,BFA,Trading Economics
USDXOF,4/11/2019,576.26,BFA,Trading Economics
USDXOF,4/12/2019,577.7,BFA,Trading Economics
USDXOF,4/15/2019,576.52,BFA,Trading Economics
USDXOF,4/16/2019,575.54,BFA,Trading Economics
USDXOF,4/17/2019,575.98,BFA,Trading Economics
USDXOF,4/18/2019,577.2,BFA,Trading Economics
USDXOF,4/19/2019,579.75,BFA,Trading Economics
USDXOF,4/22/2019,578.54,BFA,Trading Economics
USDXOF,4/23/2019,579.7,BFA,Trading Economics
USDXOF,4/24/2019,581.48,BFA,Trading Economics
USDXOF,4/25/2019,584.7,BFA,Trading Economics
USDXOF,4/26/2019,585.2,BFA,Trading Economics
USDXOF,4/29/2019,590.33,BFA,Trading Economics
USDXOF,4/30/2019,583.3,BFA,Trading Economics
USDXOF,5/1/2019,582.98,BFA,Trading Economics
USDXOF,5/2/2019,582.2,BFA,Trading Economics
USDXOF,5/3/2019,582.2,BFA,Trading Economics
USDXOF,5/6/2019,582.7,BFA,Trading Economics
USDXOF,5/7/2019,581.75,BFA,Trading Economics
USDXOF,5/8/2019,582,BFA,Trading Economics
USDXOF,5/9/2019,584,BFA,Trading Economics
USDXOF,5/10/2019,580.7,BFA,Trading Economics
USDXOF,5/13/2019,580.7,BFA,Trading Economics
USDXOF,5/14/2019,579,BFA,Trading Economics
USDXOF,5/15/2019,580.2,BFA,Trading Economics
USDXOF,5/16/2019,581.45,BFA,Trading Economics
USDXOF,5/17/2019,583.2,BFA,Trading Economics
USDXOF,5/20/2019,584,BFA,Trading Economics
USDXOF,5/21/2019,584.7,BFA,Trading Economics
USDXOF,5/22/2019,584.7,BFA,Trading Economics
USDXOF,5/23/2019,581.26,BFA,Trading Economics
USDXOF,5/24/2019,582.75,BFA,Trading Economics
USDXOF,5/27/2019,582.25,BFA,Trading Economics
USDXOF,5/28/2019,583.2,BFA,Trading Economics
USDXOF,5/29/2019,584.48,BFA,Trading Economics
USDXOF,5/30/2019,584.45,BFA,Trading Economics
USDXOF,5/31/2019,582.42,BFA,Trading Economics
USDXOF,6/3/2019,582.88,BFA,Trading Economics
USDXOF,6/4/2019,581.6,BFA,Trading Economics
USDXOF,6/5/2019,577.09,BFA,Trading Economics
USDXOF,6/6/2019,580.7,BFA,Trading Economics
USDXOF,6/7/2019,578.12,BFA,Trading Economics
USDXOF,6/10/2019,578.6,BFA,Trading Economics
USDXOF,6/11/2019,576.42,BFA,Trading Economics
USDXOF,6/12/2019,575.95,BFA,Trading Economics
USDXOF,6/13/2019,575.37,BFA,Trading Economics
USDXOF,6/14/2019,577.67,BFA,Trading Economics
USDXOF,6/17/2019,580.87,BFA,Trading Economics
USDXOF,6/18/2019,580.05,BFA,Trading Economics
USDXOF,6/19/2019,582.5,BFA,Trading Economics
USDXOF,6/20/2019,576.87,BFA,Trading Economics
USDXOF,6/21/2019,576.48,BFA,Trading Economics
USDXOF,6/24/2019,570.92,BFA,Trading Economics
USDXOF,6/25/2019,571.88,BFA,Trading Economics
USDXOF,6/26/2019,572.5,BFA,Trading Economics
USDXOF,6/27/2019,573.5,BFA,Trading Economics
USDXOF,6/28/2019,572.48,BFA,Trading Economics
USDXOF,7/1/2019,567.86,BFA,Trading Economics
USDXOF,7/2/2019,577.25,BFA,Trading Economics
USDXOF,7/3/2019,578.5,BFA,Trading Economics
USDXOF,7/4/2019,577.75,BFA,Trading Economics
USDXOF,7/5/2019,578.5,BFA,Trading Economics
USDXOF,7/8/2019,578.5,BFA,Trading Economics
USDXOF,7/9/2019,581.45,BFA,Trading Economics
USDXOF,7/10/2019,581.45,BFA,Trading Economics
USDXOF,7/11/2019,578,BFA,Trading Economics
USDXOF,7/12/2019,578.45,BFA,Trading Economics
USDXOF,7/15/2019,578,BFA,Trading Economics
USDXOF,7/16/2019,579.45,BFA,Trading Economics
USDXOF,7/17/2019,578.87,BFA,Trading Economics
USDXOF,7/18/2019,581.68,BFA,Trading Economics
USDXOF,7/19/2019,579.02,BFA,Trading Economics
USDXOF,7/22/2019,581.25,BFA,Trading Economics
USDXOF,7/23/2019,588.41,BFA,Trading Economics
USDXOF,7/24/2019,585.45,BFA,Trading Economics
USDXOF,7/25/2019,588.57,BFA,Trading Economics
USDXOF,7/26/2019,585,BFA,Trading Economics
USDXOF,7/29/2019,588.41,BFA,Trading Economics
USDXOF,7/30/2019,588.04,BFA,Trading Economics
USDXOF,7/31/2019,592.61,BFA,Trading Economics
USDXOF,8/1/2019,591.75,BFA,Trading Economics
USDXOF,8/2/2019,587.4,BFA,Trading Economics
USDXOF,8/5/2019,585.78,BFA,Trading Economics
USDXOF,8/6/2019,581.7,BFA,Trading Economics
USDXOF,8/7/2019,585.47,BFA,Trading Economics
USDXOF,8/8/2019,581.22,BFA,Trading Economics
USDXOF,8/9/2019,585.41,BFA,Trading Economics
USDXOF,8/12/2019,582.7,BFA,Trading Economics
USDXOF,8/13/2019,587.04,BFA,Trading Economics
USDXOF,8/14/2019,588.94,BFA,Trading Economics
USDXOF,8/15/2019,583.48,BFA,Trading Economics
USDXOF,8/16/2019,583.5,BFA,Trading Economics
USDXOF,8/19/2019,587.48,BFA,Trading Economics
USDXOF,8/20/2019,596.73,BFA,Trading Economics
USDXOF,8/21/2019,587.75,BFA,Trading Economics
USDXOF,8/22/2019,587.7,BFA,Trading Economics
USDXOF,8/23/2019,587.2,BFA,Trading Economics
USDXOF,8/26/2019,589,BFA,Trading Economics
USDXOF,8/27/2019,586.72,BFA,Trading Economics
USDXOF,8/28/2019,595,BFA,Trading Economics
USDXOF,8/29/2019,586,BFA,Trading Economics
USDXOF,8/30/2019,603.99,BFA,Trading Economics
USDXOF,9/2/2019,590.95,BFA,Trading Economics
USDXOF,9/3/2019,596.2,BFA,Trading Economics
USDXOF,9/4/2019,593.5,BFA,Trading Economics
USDXOF,9/5/2019,593.48,BFA,Trading Economics
USDXOF,9/6/2019,590.35,BFA,Trading Economics
USDXOF,9/9/2019,590.98,BFA,Trading Economics
USDXOF,9/10/2019,587.44,BFA,Trading Economics
USDXOF,9/11/2019,590.7,BFA,Trading Economics
USDXOF,9/12/2019,589.94,BFA,Trading Economics
USDXOF,9/13/2019,587.75,BFA,Trading Economics
USDXOF,9/16/2019,588.48,BFA,Trading Economics
USDXOF,9/17/2019,592.2,BFA,Trading Economics
USDXOF,9/18/2019,592.2,BFA,Trading Economics
USDXOF,9/19/2019,590.5,BFA,Trading Economics
USDXOF,9/20/2019,590.2,BFA,Trading Economics
USDXOF,9/23/2019,592.44,BFA,Trading Economics
USDXOF,9/24/2019,593.48,BFA,Trading Economics
USDXOF,9/25/2019,592.98,BFA,Trading Economics
USDXOF,9/26/2019,599.7,BFA,Trading Economics
USDXOF,9/27/2019,597.48,BFA,Trading Economics
USDXOF,9/30/2019,595.98,BFA,Trading Economics
USDXOF,10/1/2019,598.98,BFA,Trading Economics
USDXOF,10/2/2019,595.41,BFA,Trading Economics
USDXOF,10/3/2019,595.48,BFA,Trading Economics
USDXOF,10/4/2019,595.24,BFA,Trading Economics
USDXOF,10/7/2019,594,BFA,Trading Economics
USDXOF,10/8/2019,594,BFA,Trading Economics
USDXOF,10/9/2019,593.98,BFA,Trading Economics
USDXOF,10/10/2019,584.9,BFA,Trading Economics
USDXOF,10/11/2019,592.25,BFA,Trading Economics
USDXOF,10/14/2019,591.75,BFA,Trading Economics
USDXOF,10/15/2019,591.5,BFA,Trading Economics
USDXOF,10/16/2019,591.48,BFA,Trading Economics
USDXOF,10/17/2019,590.98,BFA,Trading Economics
USDXOF,10/18/2019,586.2,BFA,Trading Economics
USDXOF,10/21/2019,584.2,BFA,Trading Economics
USDXOF,10/22/2019,585,BFA,Trading Economics
USDXOF,10/23/2019,586.22,BFA,Trading Economics
USDXOF,10/24/2019,585,BFA,Trading Economics
USDXOF,10/25/2019,586.7,BFA,Trading Economics
USDXOF,10/28/2019,588,BFA,Trading Economics
USDXOF,10/29/2019,588,BFA,Trading Economics
USDXOF,10/30/2019,586.2,BFA,Trading Economics
USDXOF,10/31/2019,586.1,BFA,Trading Economics
USDXOF,11/1/2019,586.22,BFA,Trading Economics
USDXOF,11/4/2019,583.7,BFA,Trading Economics
USDXOF,11/5/2019,585.45,BFA,Trading Economics
USDXOF,11/6/2019,582.71,BFA,Trading Economics
USDXOF,11/7/2019,582.71,BFA,Trading Economics
USDXOF,11/8/2019,590,BFA,Trading Economics
USDXOF,11/11/2019,591.25,BFA,Trading Economics
USDXOF,11/12/2019,587.46,BFA,Trading Economics
USDXOF,11/13/2019,592.25,BFA,Trading Economics
USDXOF,11/14/2019,592.2,BFA,Trading Economics
USDXOF,11/15/2019,589.64,BFA,Trading Economics
USDXOF,11/18/2019,589.48,BFA,Trading Economics
USDXOF,11/19/2019,586.93,BFA,Trading Economics
USDXOF,11/20/2019,589,BFA,Trading Economics
USDXOF,11/21/2019,589,BFA,Trading Economics
USDXOF,11/22/2019,589.22,BFA,Trading Economics
USDXOF,11/25/2019,591.5,BFA,Trading Economics
USDXOF,11/26/2019,589.23,BFA,Trading Economics
