AdminStrata,Bamako,Bamako,Gao-Menaka,Gao-Menaka,Kayes,Kayes,Kidal,Kidal,Koulikoro,Koulikoro,Mopti,Mopti,Segou,Segou,Sikasso,Sikasso,Tombouctou-Taoudeni,Tombouctou-Taoudeni
Indicator,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly,NDVI,NDVI Anomaly
2018-01-20,0.2033444,88.6611951100354,0.12903889999999998,100.06399350787301,0.257954,90.8859099304147,0.11173139999999998,100.96412318103201,0.2489968,93.2337748108956,0.19167179999999998,92.73319729342491,0.22757919999999998,95.8765172663197,0.3210031,93.8628621912418,0.1069795,99.05569297559249
2018-01-21,,,,,,,,,,,,,,,,,,
2018-01-22,,,,,,,,,,,,,,,,,,
2018-01-23,,,,,,,,,,,,,,,,,,
2018-01-24,,,,,,,,,,,,,,,,,,
2018-01-25,,,,,,,,,,,,,,,,,,
2018-01-26,,,,,,,,,,,,,,,,,,
2018-01-27,,,,,,,,,,,,,,,,,,
2018-01-28,,,,,,,,,,,,,,,,,,
2018-01-29,,,,,,,,,,,,,,,,,,
2018-01-30,,,,,,,,,,,,,,,,,,
2018-01-31,0.1989889,90.2133695652174,0.1275715,99.3992544978944,0.2474045,92.9333883300679,0.11122760000000001,100.641636657247,0.2399621,94.4662577806389,0.1857353,93.43233749190959,0.2214005,96.9298231516135,0.3100193,96.3302548547846,0.1064802,98.60567170932029
2018-02-01,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,,,
2018-02-10,0.19912220000000003,91.660181854373,0.1266939,99.0660446277943,0.2434294,93.9708706678533,0.1109943,100.547409469778,0.23780010000000001,95.67517127112959,0.1845935,94.3849079741766,0.22034139999999997,98.13976839947772,0.30886620000000004,97.80148054155892,0.1064846,98.52388510669641
2018-02-11,,,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,
2018-02-20,0.2002444,93.4251141286574,0.1262739,99.277638385528,0.24052960000000004,95.3139199260925,0.110826,100.530261405183,0.23716420000000002,97.516781463525,0.18460479999999999,96.0351712407973,0.2205212,100.10542625102501,0.3103517,99.3675362675319,0.10675339999999998,98.7091578071741
2018-02-21,,,,,,,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,,,,,,,
2018-02-28,0.19993329999999998,94.588115880928,0.1263778,99.75172042475599,0.2372018,96.274256552525,0.11067239999999999,100.557133397838,0.2359509,99.0766274484531,0.1834128,97.15926710798028,0.21949810000000003,101.721924645226,0.3137988,100.783945435758,0.1069547,98.8408976839995
2018-03-01,,,,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,,,,,,,,,,
2018-03-03,,,,,,,,,,,,,,,,,,
2018-03-04,,,,,,,,,,,,,,,,,,
2018-03-05,,,,,,,,,,,,,,,,,,
2018-03-06,,,,,,,,,,,,,,,,,,
2018-03-07,,,,,,,,,,,,,,,,,,
2018-03-08,,,,,,,,,,,,,,,,,,
2018-03-09,,,,,,,,,,,,,,,,,,
2018-03-10,0.1966111,95.5198704148847,0.12551389999999998,100.241417044375,0.22910940000000002,96.6239530016981,0.1102905,100.634480559066,0.2296554,99.82202645687728,0.1797146,98.63550721277291,0.211851,102.300012736176,0.3239885,102.42090480423599,0.10704100000000001,99.00254187281558
2018-03-11,,,,,,,,,,,,,,,,,,
2018-03-12,,,,,,,,,,,,,,,,,,
2018-03-13,,,,,,,,,,,,,,,,,,
2018-03-14,,,,,,,,,,,,,,,,,,
2018-03-15,,,,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,,,,
2018-03-17,,,,,,,,,,,,,,,,,,
2018-03-18,,,,,,,,,,,,,,,,,,
2018-03-19,,,,,,,,,,,,,,,,,,
2018-03-20,0.1934111,95.0989546624493,0.12504790000000002,100.411459606059,0.225919,96.5181017571451,0.1101482,100.707317287896,0.22655509999999998,99.5161563686467,0.1771689,98.90527522027071,0.2078076,102.051539654246,0.3295338,102.451158499288,0.1071164,99.13181956989729
2018-03-21,,,,,,,,,,,,,,,,,,
2018-03-22,,,,,,,,,,,,,,,,,,
2018-03-23,,,,,,,,,,,,,,,,,,
2018-03-24,,,,,,,,,,,,,,,,,,
2018-03-25,,,,,,,,,,,,,,,,,,
2018-03-26,,,,,,,,,,,,,,,,,,
2018-03-27,,,,,,,,,,,,,,,,,,
2018-03-28,,,,,,,,,,,,,,,,,,
2018-03-29,,,,,,,,,,,,,,,,,,
2018-03-30,,,,,,,,,,,,,,,,,,
2018-03-31,0.19066670000000002,94.5191346237681,0.12460839999999998,100.46923666041599,0.22321439999999998,96.122546268851,0.11017660000000001,100.88053483311701,0.2246284,99.1199234264084,0.17456370000000002,98.8325661495236,0.2047389,101.74388022336299,0.3352702,102.044382807542,0.10724860000000001,99.2593200439333
2018-04-01,,,,,,,,,,,,,,,,,,
2018-04-02,,,,,,,,,,,,,,,,,,
2018-04-03,,,,,,,,,,,,,,,,,,
2018-04-04,,,,,,,,,,,,,,,,,,
2018-04-05,,,,,,,,,,,,,,,,,,
2018-04-06,,,,,,,,,,,,,,,,,,
2018-04-07,,,,,,,,,,,,,,,,,,
2018-04-08,,,,,,,,,,,,,,,,,,
2018-04-09,,,,,,,,,,,,,,,,,,
2018-04-10,0.18777779999999997,93.539653815893,0.1238969,100.338062788859,0.2209279,95.51108858032049,0.1099442,100.888443423153,0.22368600000000002,98.73923355386341,0.17165039999999998,98.36409248915069,0.20211500000000002,101.25962531749701,0.3423775,101.644302256301,0.107134,99.1953093485396
2018-04-11,,,,,,,,,,,,,,,,,,
2018-04-12,,,,,,,,,,,,,,,,,,
2018-04-13,,,,,,,,,,,,,,,,,,
2018-04-14,,,,,,,,,,,,,,,,,,
2018-04-15,,,,,,,,,,,,,,,,,,
2018-04-16,,,,,,,,,,,,,,,,,,
2018-04-17,,,,,,,,,,,,,,,,,,
2018-04-18,,,,,,,,,,,,,,,,,,
2018-04-19,,,,,,,,,,,,,,,,,,
2018-04-20,0.18817779999999998,92.67218419749192,0.12252950000000001,100.272287153974,0.2239939,96.00901944225929,0.109508,100.98280782701,0.2272417,98.6642822826029,0.16825520000000002,98.1613126362194,0.2006204,100.84159260415701,0.3571292,100.01606627757099,0.10704489999999998,99.24356317764129
2018-04-21,,,,,,,,,,,,,,,,,,
2018-04-22,,,,,,,,,,,,,,,,,,
2018-04-23,,,,,,,,,,,,,,,,,,
2018-04-24,,,,,,,,,,,,,,,,,,
2018-04-25,,,,,,,,,,,,,,,,,,
2018-04-26,,,,,,,,,,,,,,,,,,
2018-04-27,,,,,,,,,,,,,,,,,,
2018-04-28,,,,,,,,,,,,,,,,,,
2018-04-29,,,,,,,,,,,,,,,,,,
2018-04-30,0.1911111,92.612362701099,0.1224597,100.545462707573,0.22767289999999998,96.54064281413021,0.1091875,101.02274522944201,0.2304534,98.44397571943621,0.16804739999999999,98.4854158094351,0.2008159,100.732351670171,0.3628375,98.3827422603908,0.10715610000000002,99.3946113325065
2018-05-01,,,,,,,,,,,,,,,,,,
2018-05-02,,,,,,,,,,,,,,,,,,
2018-05-03,,,,,,,,,,,,,,,,,,
2018-05-04,,,,,,,,,,,,,,,,,,
2018-05-05,,,,,,,,,,,,,,,,,,
2018-05-06,,,,,,,,,,,,,,,,,,
2018-05-07,,,,,,,,,,,,,,,,,,
2018-05-08,,,,,,,,,,,,,,,,,,
2018-05-09,,,,,,,,,,,,,,,,,,
2018-05-10,0.1959556,92.8718556163443,0.12206130000000001,100.68877012107001,0.230035,96.33339020879721,0.10866300000000001,100.98552266944,0.23312929999999996,97.7923865919133,0.16711320000000002,98.46564388352829,0.19976770000000002,100.20967312898,0.3684272,96.49666538520171,0.10709729999999999,99.43892945917841
2018-05-11,,,,,,,,,,,,,,,,,,
2018-05-12,,,,,,,,,,,,,,,,,,
2018-05-13,,,,,,,,,,,,,,,,,,
2018-05-14,,,,,,,,,,,,,,,,,,
2018-05-15,,,,,,,,,,,,,,,,,,
2018-05-16,,,,,,,,,,,,,,,,,,
2018-05-17,,,,,,,,,,,,,,,,,,
2018-05-18,,,,,,,,,,,,,,,,,,
2018-05-19,,,,,,,,,,,,,,,,,,
2018-05-20,0.20243329999999998,93.38237850979309,0.12109020000000001,100.55286674365802,0.23266509999999999,95.71206445972379,0.1079907,100.90287845596701,0.23666320000000002,97.15977089448971,0.16642089999999998,98.5979845857576,0.19865339999999998,99.7459151467306,0.3753623,94.67995716543061,0.107004,99.4893853233449
2018-05-21,,,,,,,,,,,,,,,,,,
2018-05-22,,,,,,,,,,,,,,,,,,
2018-05-23,,,,,,,,,,,,,,,,,,
2018-05-24,,,,,,,,,,,,,,,,,,
