AdminStrata,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Al-Hasakeh,Aleppo,Aleppo,Aleppo,Aleppo,Aleppo,Aleppo,Aleppo,Aleppo,Aleppo,Aleppo,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,Ar-Raqqa,As-Sweida,As-Sweida,As-Sweida,As-Sweida,As-Sweida,As-Sweida,As-Sweida,As-Sweida,As-Sweida,As-Sweida,Damascus,Damascus,Damascus,Damascus,Damascus,Damascus,Damascus,Damascus,Damascus,Damascus,Dar'a,Dar'a,Dar'a,Dar'a,Dar'a,Dar'a,Dar'a,Dar'a,Dar'a,Dar'a,Hama,Hama,Hama,Hama,Hama,Hama,Hama,Hama,Hama,Hama,Homs,Homs,Homs,Homs,Homs,Homs,Homs,Homs,Homs,Homs,Lattakia,Lattakia,Lattakia,Lattakia,Lattakia,Lattakia,Lattakia,Lattakia,Lattakia,Lattakia,Rural Damascus,Rural Damascus,Rural Damascus,Rural Damascus,Rural Damascus,Rural Damascus,Rural Damascus,Rural Damascus,Rural Damascus,Rural Damascus,Tartous,Tartous,Tartous,Tartous,Tartous,Tartous,Tartous,Tartous,Tartous,Tartous
Food Group,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage,Cereals and tubers,Exchange rate,Fuel,"Meat, fish and eggs",Milk and dairy,Miscellaneous food,Oil and fats,Pulses and nuts,Vegetables and fruits,Wage
2018-01-31,0.050706496567970945,0.01846590909090909,0.011908396946564887,0.038404782741887696,0.14461283731553973,0.055313213719905475,0.0171498571125355,0.10557174572433502,0.13657081598725282,0.0,0.09246088724066073,0.020951704545454558,0.08549476205944453,0.07806725528202586,0.1417145319681807,0.10317815168998976,0.060024499893874234,0.09338621047863797,0.09771871389477127,0.303319979326676,0.0762452402587552,0.02035984848484848,0.02615721942504467,0.04723534390801294,0.29088396962023566,0.055313213719905475,0.025724785668803235,0.08996685533202943,0.0913549829128877,0.25352117675065455,0.03481784748744585,0.02651515151515152,0.09423826538898813,0.0941757048601377,0.09779984380656659,0.07606557423867691,0.06859942845014197,0.18947742309656598,0.1102368352483327,0.23541252126846499,0.029052580928797457,0.02201704545454547,0.09049049861945753,0.10230533755795741,0.13104979855536694,0.05832537921484327,0.06859942845014197,0.18318163519647002,0.10419979946526071,0.23541252126846499,0.06430428968197374,0.01477272727272727,0.14977651453630014,0.08131168704869032,0.1003656345694702,0.08748890393826764,0.07854634557541257,0.03378298756369439,0.1304031559608981,0.1408129050295064,0.0238471018394225,0.020833333333333343,0.05926181581939256,0.085525067143375,0.05661286785021402,0.08182243167316895,0.05144957133760647,0.19224468157527622,0.08336339471950552,0.23541252126846499,0.023473967522202627,0.02035984848484848,0.055272454117264905,0.0889256864722261,0.06814251221935932,0.08182243167316895,0.05316455704886003,0.19353931411046058,0.09535067555804234,0.23541252126846499,0.05349730128553896,0.022253787878787873,0.0745980185155108,0.07502084163464337,0.12746112440300258,0.05779004610446705,0.09432421411894523,0.1532712304632193,0.11866129800482657,0.23541252126846499,0.7742017543152013,0.020833333333333343,1.0,0.2778905295896593,0.3650092333922511,0.7647698035762869,0.40302164214458425,0.5433367745466228,0.35957002851626985,0.16297789933970655,0.029636927240563223,0.022253787878787873,0.07230794217963295,0.060266691623992674,0.09154505996461718,0.04858502764890713,0.060024499893874234,0.11335114235364684,0.08798395094801638,0.28068415997393903
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
