data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
7153446,566,NIG17596,17596,"03 July 2020",2020,2,Battles,"Armed clash","Fulani Ethnic Militia (Nigeria)","Pastoralists (Nigeria)",4,"Udege Communal Militia (Nigeria)",,4,44,"Western Africa",Nigeria,Nasarawa,Nasarawa-Eggon,,Nassarawa,8.5294,7.7242,2,"Nigeria Punch",National,"Around 3 July 2020 (as reported), suspected Fulani militias clashed with communal militias from Mararaba Udege in Nasarawa LGA (Nassarawa). 6 people were killed and 2 injured.",6,1594063539,NGA
7153526,566,NIG17594,17594,"03 July 2020",2020,1,"Violence against civilians",Attack,"Katsina Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Katsina,Batsari,,Kandawa,12.9339,7.3038,1,"Sahara Reporters",Regional,"On 3 July 2020, Katsina communal militias attacked Kandawa (Batsari LGA, Katsina), killed 1 resident and abducted 4.",1,1594063540,NGA
7153357,566,NIG17593,17593,"03 July 2020",2020,1,"Violence against civilians","Abduction/forced disappearance","Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,2,"Civilians (Nigeria)","Women (Nigeria)",7,27,"Western Africa",Nigeria,Borno,Biu,,Biu,10.6129,12.1946,2,HumAngle,National,"On 3 July 2020, Boko Haram attacked Zada Shettimari Dawari in Biu LGA (Borno), looting the community and abducting women and girls.",0,1594063539,NGA
7153111,566,NIG17595,17595,"03 July 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Nigeria (2015-)",,1,"Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,2,12,"Western Africa",Nigeria,Borno,Bama,,Mina,11.4373,14.0885,1,"Daily Post (Nigeria); Sun (Nigeria); Legit; Daily Leadership (Nigeria); Twitter","New media-National","On 3 July 2020, Nigerian Air Force conducted air strikes against Boko Haram at Mina (Bama LGA, Borno). Several BH fighters were reportely killed and the BH base destroyed. Several fatalities coded as 3.",3,1594063538,NGA
7153436,566,NIG17584,17584,"02 July 2020",2020,2,"Violence against civilians",Attack,"Awka North Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Anambra,"Awka North",,Achalla,6.3347,6.9886,2,"New Telegraph",National,"Around 2 July 2020 (as reported), unidentified gunmen attacked Agu Enu village in Oba Ofemili community of Awka North LGA (Anambra) and burnt houses. The attack is believed to be related to a land boundary dispute in the community.",0,1594063539,NGA
7153438,566,NIG17589,17589,"02 July 2020",2020,2,"Violence against civilians",Attack,"Ibite Olo Communal Militia (Nigeria)",,4,"Civilians (Nigeria)",,7,47,"Western Africa",Nigeria,Enugu,Ezeagu,,"Ibite Olo",6.4556,7.1277,1,"New Telegraph",National,"Around 2 July 2020 (as reported), unidentified gunmen attacked Ibite Olo (Ezeagu LGA, Enugu) and looted the village. The attack is believed to be related to a land boundary dispute in the community.",0,1594063539,NGA
7153273,566,NIG17592,17592,"02 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,Enugu,"Enugu South",,Uwani,6.4088,7.5006,2,"Daily Independent (Nigeria)",National,"On 2 July 2020, youths demonstrated at the local palace in Obeagu Awkunanaw in Enugu South LGA (Enugu) over illegal land grabbing in their area. [size=no report]",0,1594063539,NGA
7153281,566,NIG17591,17591,"02 July 2020",2020,2,Riots,"Mob violence","Rioters (Nigeria)","Vigilante Group (Nigeria)",5,"Civilians (Nigeria)","Women (Nigeria)",7,57,"Western Africa",Nigeria,"Akwa Ibom",Itu,,Oku,5.0475,7.9086,1,"Daily Post (Nigeria)",National,"Around 2 July 2020 (as reported), a mob burnt to death three women suspected of being witches in Oku (Boki LGA, Cross River).[size=no report]",3,1594063539,NGA
7153609,566,NIG17586,17586,"02 July 2020",2020,1,Battles,"Armed clash","Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,2,"Civilian JTF: Civilian Joint Task Force",,3,23,"Western Africa",Nigeria,Borno,Damboa,,Damboa,11.156,12.7576,2,"Undisclosed Source","Local partner-Other","On 2 July 2020, Boko Haram attacked a military base in Tolameri near Damboa (Damboa LGA, Borno) and were repelled by Civilian-JTF. 2 BH fighters were killed.",2,1594063540,NGA
7153108,566,NIG17585,17585,"02 July 2020",2020,1,Battles,"Armed clash","Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,2,"Military Forces of Nigeria (2015-)",,1,12,"Western Africa",Nigeria,Borno,Mobbar,,Damasak,13.0977,12.4952,1,"Daily Trust (Nigeria); HumAngle; Undisclosed Source; Twitter; Sun (Nigeria); Sahara Reporters; Daily Post (Nigeria); New Telegraph; Nigeria Punch; Guardian (Nigeria)","Local partner-Other","On 2 July 2020, Boko Haram attacked Damasak (Mobbar LGA, Borno) and engaged in a gun battle with Nigerian Armed Forces. 2 civilians, 7 BH fighters and 3 soldiers were killed and an UN helicopter damaged.",12,1594063538,NGA
7153109,566,NIG17587,17587,"02 July 2020",2020,1,"Violence against civilians",Attack,"Unidentified Armed Group (Nigeria)",,3,"Civilians (Nigeria)","Tiv Ethnic Group (Nigeria)",7,37,"Western Africa",Nigeria,Taraba,Donga,,Donga,7.7167,10.05,2,"Guardian (Nigeria); Inside Arewa (Nigeria)",National,"On 2 July 2020, unidentified gunmen attacked the Tiv community of Tse Juku in Donga LGA (Taraba) and killed 4 residents.",4,1594063538,NGA
7153110,566,NIG17590,17590,"02 July 2020",2020,1,"Explosions/Remote violence","Air/drone strike","Military Forces of Nigeria (2015-)",,1,"Islamic State (West Africa) and/or Boko Haram - Jamatu Ahli is-Sunnah lid-Dawatai wal-Jihad",,2,12,"Western Africa",Nigeria,Borno,Gwoza,,Mainyakare,11.4371,14.0892,1,"Daily Post (Nigeria); Daily Trust (Nigeria); Daily Leadership (Nigeria); Guardian (Nigeria); Legit; Twitter","New media-National","On 2 July 2020, Nigerian Air Force conducted air strikes against a camp of Boko Haram at Mainyakare (Gwoza LGA, Borno) on the fringes of the Sambisa Forest in Borno. Several BH fighters were reported killed and the meeting venue destroyed. Several fatalities coded as 3.",3,1594063538,NGA
7153633,566,NIG17588,17588,"02 July 2020",2020,1,Battles,"Armed clash","Evwreni Communal Militia (Nigeria)",,4,"Police Forces of Nigeria (2015-)",,1,14,"Western Africa",Nigeria,Delta,"Ughelli North",,Evwreni,5.4006,6.0662,1,"Vanguard (Nigeria)",National,"On 2 July 2020, communal militias clashed with Police forces in Evwreni (Ughelli North LGA, Delta) to prevent the arrest of a suspect. 1 person was killed.",1,1594063540,NGA
7153524,566,NIG17573,17573,"01 July 2020",2020,2,Protests,"Peaceful protest","Protesters (Nigeria)","Health Workers (Nigeria)",6,,,0,60,"Western Africa",Nigeria,Ondo,"Akure South",,Akure,7.2526,5.1931,1,"Sahara Reporters",Regional,"Around 1 July 2020 (as reported), nurses demonstrated at the Neuropsychiatric Hospital in Akure (Akure South LGA, Ondo) over poor working conditions at the facility. [size=no report]",0,1594063540,NGA
7153525,566,NIG17583,17583,"01 July 2020",2020,2,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,Yobe,Potiskum,,Potiskum,11.7091,11.0694,1,"Sahara Reporters",Regional,"Around 1 July 2020 (as reported), 5 family members demonstrated in Potiskum (Potiskum LGA, Yobe) and demanded justice for the rape of their daughter. [size=5]",0,1594063540,NGA
7153274,566,NIG17581,17581,"01 July 2020",2020,1,Protests,"Peaceful protest","Protesters (Nigeria)",,6,,,0,60,"Western Africa",Nigeria,Niger,Chanchaga,,Minna,9.6139,6.5569,1,"Daily Independent (Nigeria)",National,"On 1 July 2020, several men demonstrated at the Federal Court in Minna (Chanchaga LGA, Niger) and demanded an end to the trial of the ex-governor. [size=several]",0,1594063539,NGA
7153287,566,NIG17582,17582,"01 July 2020",2020,1,Battles,"Armed clash","Unidentified Armed Group (Nigeria)",,3,"VGN: Vigilante Group of Nigeria",,3,33,"Western Africa",Nigeria,Nassarawa,Nasarawa,,Onda,8.49,7.8269,2,"Daily Trust (Nigeria)",National,"On 1 July 2020, unidentified gunmen clashed with members of the Vigilante Group of Nigeria near Onda Hill in Nasarawa LGA (Nassarawa). Two members of the group were killed.",2,1594063539,NGA
